RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            4     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.950D+02  2.402D+03
    1    4     1     0  ---    2  4.0D-03  1.4D+00  2.625D+02  1.939D+03
    2    5     0     0  con    0  1.0D+00  1.1D+01  3.280D+01  6.860D+01
    3    6     0     0  con    0  1.0D+00  1.5D+00  1.533D+01  3.208D+01
    4    7     0     0  con    0  1.0D+00  1.5D+00  5.735D+00  1.535D+01
    5    8     0     0  con    0  1.0D+00  1.7D+00  4.501D+00  5.818D+00
    6    9     0     0  con    0  1.0D+00  1.6D+00  1.163D+00  8.637D-01
    7   10     0     0  con    0  1.0D+00  9.0D-01  2.553D-01  6.971D-02
    8   11     0     0  con    0  1.0D+00  2.4D-01  1.110D-01  1.986D-02
    9   12     0     0  con    0  1.0D+00  1.5D-01  4.758D-02  7.451D-03
   10   13     0     0  con    0  1.0D+00  1.0D-01  2.150D-02  3.933D-03
   11   14     0     0  con    0  1.0D+00  8.1D-02  9.193D-03  2.661D-03
   12   15     0     0  con    0  1.0D+00  6.8D-02  3.278D-03  2.187D-03
   13   16     0     0  con    0  1.0D+00  5.7D-02  1.523D-03  2.011D-03
   14   17     0     0  con    0  1.0D+00  5.0D-02  1.193D-03  1.939D-03
   15   18     0     0  con    0  1.0D+00  6.7D-02  2.066D-03  1.862D-03
   16   20     0     0  con    1  5.0D+00  1.3D+00  2.783D-03  1.765D-04
   17   23     0     0  con    2  3.6D-02  1.8D-01  4.639D-04  2.279D-05
   18   24     0     0  con    0  1.0D+00  1.1D-01  7.000D-04  1.289D-05
   19   25     0     0  con    0  1.0D+00  2.7D-02  2.300D-04  7.375D-06
   20   26     0     0  con    0  1.0D+00  6.9D-02  1.785D-05  4.173D-06
   21   27     0     0  con    0  1.0D+00  3.7D-02  1.395D-05  3.694D-06
   22   28     0     0  con    0  1.0D+00  9.6D-03  2.495D-06  3.666D-06
   23   29     0     0  con    0  1.0D+00  1.0D-03  2.941D-06  3.665D-06
