RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            4     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     9.134D-03  6.795D-03
    1    3     1     0  ---    1  1.9D+01  2.3D-01  8.935D-03  4.691D-03
    2    5     0     0  con    1  3.5D-01  1.1D-01  1.250D-02  4.113D-03
    3    6     0     0  con    0  1.0D+00  2.1D-01  1.444D-02  2.650D-03
    4    7     0     0  con    0  1.0D+00  2.2D-01  3.370D-03  1.386D-03
    5    8     0     0  con    0  1.0D+00  2.5D-01  5.153D-03  7.707D-04
    6    9     0     0  con    0  1.0D+00  1.8D-01  4.639D-03  5.186D-04
    7   10     0     0  con    0  1.0D+00  2.3D-01  8.747D-04  2.873D-04
    8   11     0     0  con    0  1.0D+00  2.4D-01  1.528D-03  1.851D-04
    9   12     0     0  con    0  1.0D+00  2.3D-01  6.800D-04  1.305D-04
   10   13     0     0  con    0  1.0D+00  2.1D-01  4.752D-04  1.068D-04
   11   14     0     0  con    0  1.0D+00  1.8D-01  1.996D-04  9.672D-05
   12   15     0     0  con    0  1.0D+00  1.4D-01  1.222D-04  9.348D-05
   13   16     0     0  con    0  1.0D+00  7.9D-02  1.628D-05  9.272D-05
   14   17     0     0  con    0  1.0D+00  3.8D-02  1.775D-05  9.262D-05
   15   18     0     0  con    0  1.0D+00  8.2D-03  5.727D-05  9.262D-05
   16   19     0     0  con    0  1.0D+00  1.3D-03  3.154D-05  9.261D-05
   17   20     0     0  con    0  1.0D+00  1.6D-03  8.011D-06  9.260D-05
   18   21     0     0  con    0  1.0D+00  5.3D-03  4.891D-05  9.256D-05
