RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            3     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.937D-03  6.487D-05
    1    3     1     0  ---    1  3.0D+01  7.2D-02  1.665D-03  5.695D-05
    2    4     0     0  con    0  1.0D+00  3.1D-02  2.698D-04  2.272D-05
    3    5     0     0  con    0  1.0D+00  5.2D-03  1.211D-04  2.190D-05
    4    6     0     0  con    0  1.0D+00  4.1D-03  1.503D-04  2.140D-05
    5    7     0     0  con    0  1.0D+00  6.0D-02  3.893D-04  1.586D-05
    6    8     0     0  con    0  1.0D+00  9.1D-02  6.810D-04  9.628D-06
    7    9     0     0  con    0  1.0D+00  7.8D-02  5.934D-04  4.019D-06
    8   10     0     0  con    0  1.0D+00  1.2D-02  1.099D-04  1.476D-07
    9   11     0     0  con    0  1.0D+00  4.6D-03  2.785D-06  7.616D-09
   10   12     0     0  con    0  1.0D+00  1.5D-03  6.544D-07  6.557D-09
   11   13     0     0  con    0  1.0D+00  2.8D-04  5.863D-09  6.502D-09
   12   14     0     0  con    0  1.0D+00  1.6D-06  5.624D-09  6.502D-09
   13   15     0     0  con    0  1.0D+00  1.2D-05  5.609D-09  6.502D-09
   14   16     0     0  con    0  1.0D+00  4.3D-05  1.671D-08  6.502D-09
   15   17     0     0  con    0  1.0D+00  1.2D-04  3.350D-08  6.501D-09
   16   18     0     0  con    0  1.0D+00  3.3D-04  6.138D-08  6.500D-09
   17   19     0     0  con    0  1.0D+00  9.0D-04  1.060D-07  6.497D-09
   18   20     0     0  con    0  1.0D+00  2.4D-03  1.784D-07  6.490D-09
   19   21     0     0  con    0  1.0D+00  6.1D-03  2.954D-07  6.471D-09
   20   22     0     0  con    0  1.0D+00  1.4D-02  5.695D-07  6.434D-09
   21   24     0     0  con    1  4.7D-01  1.6D-02  1.131D-06  6.399D-09
   22   25     0     0  con    0  1.0D+00  1.5D-02  8.269D-07  6.314D-09
   23   26     0     0  con    0  1.0D+00  7.0D-02  7.277D-07  5.890D-09
   24   28     0     0  con    1  1.8D-01  3.1D-03  1.704D-06  5.832D-09
   25   29     0     0  con    0  1.0D+00  6.5D-02  1.744D-06  5.572D-09
   26   30     0     0  con    0  1.0D+00  7.5D-02  1.110D-06  5.326D-09
   27   31     0     0  con    0  1.0D+00  5.8D-03  2.143D-06  5.217D-09
   28   33     0     0  con    1  3.8D-01  4.0D-02  2.987D-07  5.022D-09
   29   35     0     0  con    1  1.9D-01  3.4D-02  7.751D-07  4.936D-09
   30   36     0     0  con    0  1.0D+00  4.1D-02  2.060D-06  4.876D-09
   31   37     0     0  con    0  1.0D+00  1.2D-02  1.811D-06  4.788D-09
   32   38     0     0  con    0  1.0D+00  6.3D-02  1.283D-06  4.626D-09
   33   39     0     0  con    0  1.0D+00  3.2D-02  7.435D-07  4.515D-09
   34   41     0     0  con    1  3.3D-01  3.2D-02  4.449D-07  4.469D-09
   35   42     0     0  con    0  1.0D+00  4.9D-02  9.184D-07  4.409D-09
   36   43     0     0  con    0  1.0D+00  8.2D-03  8.664D-07  4.333D-09
   37   44     0     0  con    0  1.0D+00  5.4D-02  1.287D-07  4.253D-09
   38   45     0     0  con    0  1.0D+00  3.6D-02  3.300D-07  4.216D-09
   39   46     0     0  con    0  1.0D+00  5.0D-02  1.312D-06  4.153D-09
   40   48     0     0  con    1  2.2D-01  2.5D-02  6.778D-07  4.124D-09
   41   49     0     0  con    0  1.0D+00  3.7D-02  1.090D-06  4.107D-09
   42   50     0     0  con    0  1.0D+00  2.0D-02  5.855D-07  4.100D-09
   43   51     0     0  con    0  1.0D+00  1.1D-02  1.755D-07  4.086D-09
   44   52     0     0  con    0  1.0D+00  2.1D-02  3.142D-07  4.077D-09
   45   53     0     0  con    0  1.0D+00  1.5D-02  2.408D-07  4.068D-09
   46   54     0     0  con    0  1.0D+00  2.6D-02  4.033D-08  4.048D-09
   47   56     0     0  con    1  4.8D-01  1.7D-02  2.218D-07  4.043D-09
   48   57     0     0  con    0  1.0D+00  3.1D-02  3.137D-07  4.032D-09
   49   58     0     0  con    0  1.0D+00  9.4D-03  6.503D-08  4.028D-09
   50   60     0     0  con    1  4.4D-01  1.4D-02  6.324D-09  4.025D-09
   51   62     0     0  con    1  4.3D-01  1.2D-02  8.125D-08  4.024D-09
   52   63     0     0  con    0  1.0D+00  5.9D-03  9.159D-08  4.024D-09
   53   65     0     0  con    1  2.7D-01  3.7D-03  4.197D-08  4.023D-09
   54   66     0     0  con    0  1.0D+00  5.0D-03  1.025D-08  4.023D-09
   55   67     0     0  con    0  1.0D+00  6.2D-03  3.487D-08  4.023D-09
   56   68     0     0  con    0  1.0D+00  4.0D-04  3.622D-09  4.023D-09
   57   69     0     0  con    0  1.0D+00  5.7D-04  2.175D-10  4.023D-09
   58   70     0     0  con    0  1.0D+00  1.0D-04  4.836D-12  4.023D-09
   59   71     0     0  con    0  1.0D+00  8.6D-07  6.046D-13  4.023D-09
   60   81     0     0  con    9  5.0D-04  1.3D-11  6.042D-13  4.023D-09
   61   87     0     0  con    5  7.1D-24  3.0D-31  6.044D-13  4.023D-09

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.651E+01 seconds.

