RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            3     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     6.318D-03  4.364D-02
    1    9     1     0  ---    7  2.3D+02  1.8D+00  1.050D-02  3.219D-04
    2   10     1     0  ---    0  1.0D+00  1.2D-02  6.783D-03  2.002D-04
    3   11     0     0  con    0  1.0D+00  2.2D-02  7.771D-04  1.246D-04
    4   12     0     0  con    0  1.0D+00  2.7D-03  3.540D-04  1.229D-04
    5   14     0     0  con    1  5.0D+00  7.4D-03  8.201D-04  1.201D-04
    6   15     0     0  con    0  1.0D+00  3.2D-02  1.867D-03  1.093D-04
    7   16     0     0  con    0  1.0D+00  1.2D-01  3.537D-03  7.518D-05
    8   17     0     0  con    0  1.0D+00  2.6D-01  3.560D-03  2.198D-05
    9   18     0     0  con    0  1.0D+00  7.6D-02  3.587D-04  4.484D-06
   10   19     0     0  con    0  1.0D+00  8.3D-02  1.675D-04  8.041D-07
   11   20     0     0  con    0  1.0D+00  1.9D-02  2.816D-05  4.073D-07
   12   21     0     0  con    0  1.0D+00  8.3D-04  2.872D-07  4.055D-07
   13   22     0     0  con    0  1.0D+00  3.3D-05  2.145D-07  4.055D-07
   14   25     0     0  con    2  2.1D+01  2.1D-04  5.443D-07  4.054D-07
   15   26     0     0  con    0  1.0D+00  1.1D-03  1.944D-06  4.052D-07
   16   27     0     0  con    0  1.0D+00  4.1D-03  4.728D-06  4.045D-07
   17   28     0     0  con    0  1.0D+00  1.1D-02  8.818D-06  4.028D-07
   18   29     0     0  con    0  1.0D+00  3.1D-02  1.512D-05  3.982D-07
   19   30     0     0  con    0  1.0D+00  9.1D-02  2.161D-05  3.846D-07
   20   33     0     0  con    2  1.5D+00  6.0D-01  1.146D-04  2.857D-07
   21   35     0     0  con    1  1.1D-01  1.3D-01  1.619D-04  2.732D-07
   22   36     0     0  con    0  1.0D+00  1.6D-01  1.222D-04  2.148D-07
   23   37     0     0  con    0  1.0D+00  5.1D-02  3.266D-06  1.892D-07
   24   38     0     0  con    0  1.0D+00  9.6D-02  3.109D-05  1.843D-07
   25   39     0     0  con    0  1.0D+00  4.1D-02  3.609D-05  1.777D-07
   26   40     0     0  con    0  1.0D+00  3.8D-01  7.447D-05  1.307D-07
   27   41     0     0  con    0  1.0D+00  1.5D-01  3.685D-05  1.063D-07
   28   43     0     0  con    1  4.2D-01  2.7D-01  7.243D-05  8.945D-08
   29   44     0     0  con    0  1.0D+00  2.7D-01  5.735D-05  6.946D-08
   30   45     0     0  con    0  1.0D+00  1.7D-01  2.587D-05  5.219D-08
   31   47     0     0  con    1  3.9D-01  2.0D-01  1.983D-06  4.180D-08
   32   49     0     0  con    1  3.7D-01  2.1D-01  3.160D-05  3.505D-08
   33   50     0     0  con    0  1.0D+00  1.5D-01  4.255D-05  2.824D-08
   34   51     0     0  con    0  1.0D+00  2.2D-01  2.667D-05  1.838D-08
   35   52     0     0  con    0  1.0D+00  2.7D-01  3.250D-05  1.255D-08
   36   54     0     0  con    1  2.2D-01  1.6D-01  1.653D-05  8.762D-09
   37   55     0     0  con    0  1.0D+00  2.8D-01  2.976D-05  4.533D-09
   38   56     0     0  con    0  1.0D+00  2.0D-02  1.670D-05  3.729D-09
   39   57     0     0  con    0  1.0D+00  1.2D-01  4.715D-06  2.043D-09
   40   58     0     0  con    0  1.0D+00  1.0D-01  1.326D-05  1.233D-09
   41   59     0     0  con    0  1.0D+00  6.9D-02  9.108D-06  6.888D-10
   42   60     0     0  con    0  1.0D+00  1.8D-01  1.310D-05  3.983D-10
   43   61     0     0  con    0  1.0D+00  2.5D-03  5.322D-06  8.424D-11
   44   62     0     0  con    0  1.0D+00  3.5D-02  5.038D-08  9.591D-12
   45   63     0     0  con    0  1.0D+00  2.2D-02  6.137D-07  1.871D-12
   46   64     0     0  con    0  1.0D+00  8.4D-03  2.263D-07  1.173D-13
   47   65     0     0  con    0  1.0D+00  1.7D-03  1.020D-08  5.553D-16
