RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     8.476D-04  5.862D-05
    1    4     1     0  ---    2  8.2D-01  7.8D-04  9.807D-05  5.825D-05
    2    7     0     0  con    2  2.1D+01  2.3D-03  8.187D-05  5.797D-05
    3    8     0     0  con    0  1.0D+00  1.4D-02  4.090D-05  5.711D-05
    4    9     0     0  con    0  1.0D+00  7.0D-03  3.773D-05  5.685D-05
    5   10     0     0  con    0  1.0D+00  4.4D-02  2.736D-04  5.575D-05
    6   11     0     0  con    0  1.0D+00  1.5D-02  1.787D-04  5.550D-05
    7   12     0     0  con    0  1.0D+00  7.9D-03  4.795D-05  5.537D-05
    8   13     0     0  con    0  1.0D+00  6.9D-03  8.699D-05  5.529D-05
    9   14     0     0  con    0  1.0D+00  1.4D-02  1.841D-04  5.510D-05
   10   15     0     0  con    0  1.0D+00  4.2D-02  2.651D-04  5.452D-05
   11   16     0     0  con    0  1.0D+00  1.1D-01  1.622D-04  5.303D-05
   12   18     0     0  con    1  3.2D-01  2.7D-01  1.250D-03  5.012D-05
   13   21     0     0  con    2  3.0D-02  8.1D-02  4.697D-04  4.917D-05
   14   23     0     0  con    1  4.2D-01  1.1D-01  4.036D-04  4.739D-05
   15   24     0     0  con    0  1.0D+00  3.8D-01  2.915D-03  4.300D-05
   16   25     0     0  con    0  1.0D+00  1.2D-01  5.087D-04  2.722D-05
   17   26     0     0  con    0  1.0D+00  4.5D-01  8.936D-04  1.893D-05
   18   27     0     0  con    0  1.0D+00  1.9D-01  7.605D-04  1.501D-05
   19   28     0     0  con    0  1.0D+00  5.1D-01  7.447D-04  8.598D-06
   20   29     0     0  con    0  1.0D+00  1.6D-01  7.943D-05  7.677D-06
   21   30     0     0  con    0  1.0D+00  3.1D-01  8.521D-04  7.466D-06
   22   31     0     0  con    0  1.0D+00  8.7D-02  2.633D-04  6.931D-06
   23   32     0     0  con    0  1.0D+00  1.3D-02  7.793D-05  6.520D-06
   24   33     0     0  con    0  1.0D+00  1.5D-01  4.435D-05  3.651D-06
   25   35     0     0  con    1  2.1D-01  1.2D-01  4.489D-04  2.831D-06
   26   36     0     0  con    0  1.0D+00  5.4D-02  6.521D-04  2.005D-06
   27   37     0     0  con    0  1.0D+00  8.9D-02  5.851D-05  1.902D-06
