RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            7     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     5.315D-04  5.206D-05
    1    4     1     0  ---    2  3.8D+00  2.8D-03  4.818D-04  5.103D-05
    2    5     0     0  con    0  1.0D+00  1.6D-03  1.149D-04  5.056D-05
    3    6     0     0  con    0  1.0D+00  7.9D-04  5.877D-05  5.049D-05
    4    7     0     0  con    0  1.0D+00  6.1D-04  8.360D-05  5.045D-05
    5    8     0     0  con    0  1.0D+00  4.7D-03  2.905D-04  5.016D-05
    6    9     0     0  con    0  1.0D+00  1.0D-02  5.343D-04  4.960D-05
    7   10     0     0  con    0  1.0D+00  2.9D-02  9.243D-04  4.811D-05
    8   11     0     0  con    0  1.0D+00  6.2D-02  1.335D-03  4.522D-05
    9   12     0     0  con    0  1.0D+00  9.9D-02  1.500D-03  4.078D-05
   10   13     0     0  con    0  1.0D+00  1.1D-01  1.053D-03  3.606D-05
   11   14     0     0  con    0  1.0D+00  3.5D-02  2.415D-04  3.401D-05
   12   15     0     0  con    0  1.0D+00  7.2D-03  4.035D-05  3.385D-05
   13   17     0     0  con    1  5.0D+00  3.4D-03  6.299D-05  3.381D-05
   14   18     0     0  con    0  1.0D+00  1.1D-02  1.674D-04  3.362D-05
   15   19     0     0  con    0  1.0D+00  2.0D-02  3.461D-04  3.316D-05
   16   20     0     0  con    0  1.0D+00  4.9D-02  5.583D-04  3.195D-05
   17   21     0     0  con    0  1.0D+00  1.3D-01  1.033D-03  2.906D-05
   18   22     0     0  con    0  1.0D+00  3.2D-01  1.050D-03  2.228D-05
   19   24     0     0  con    1  4.0D-01  4.3D-01  6.160D-04  1.494D-05
   20   25     0     0  con    0  1.0D+00  3.3D-01  9.919D-04  1.047D-05
   21   26     0     0  con    0  1.0D+00  8.5D-02  2.409D-04  6.213D-06
   22   27     0     0  con    0  1.0D+00  1.1D-01  5.440D-04  4.594D-06
   23   28     0     0  con    0  1.0D+00  3.0D-02  3.718D-04  4.135D-06
   24   29     0     0  con    0  1.0D+00  8.3D-02  1.700D-04  3.575D-06
   25   30     0     0  con    0  1.0D+00  1.1D-01  1.063D-04  3.196D-06
   26   31     0     0  con    0  1.0D+00  6.8D-02  1.880D-05  3.068D-06
   27   32     0     0  con    0  1.0D+00  2.8D-02  2.639D-05  3.061D-06
   28   33     0     0  con    0  1.0D+00  3.4D-03  1.005D-05  3.059D-06
   29   34     0     0  con    0  1.0D+00  5.9D-04  2.357D-06  3.059D-06
   30   36     0     0  con    1  5.0D+00  1.5D-04  3.023D-06  3.059D-06
   31   37     0     0  con    0  1.0D+00  5.3D-04  1.209D-05  3.058D-06
   32   38     0     0  con    0  1.0D+00  1.2D-03  2.643D-05  3.056D-06
   33   39     0     0  con    0  1.0D+00  3.2D-03  4.901D-05  3.051D-06
   34   40     0     0  con    0  1.0D+00  7.7D-03  8.351D-05  3.039D-06
   35   41     0     0  con    0  1.0D+00  1.5D-02  1.293D-04  3.016D-06
   36   42     0     0  con    0  1.0D+00  2.1D-02  1.702D-04  2.979D-06
   37   43     0     0  con    0  1.0D+00  3.1D-02  1.902D-04  2.904D-06
   38   44     0     0  con    0  1.0D+00  5.7D-02  2.374D-04  2.853D-06
   39   45     0     0  con    0  1.0D+00  4.7D-02  1.322D-04  2.659D-06
   40   46     0     0  con    0  1.0D+00  2.1D-02  6.972D-05  2.647D-06
   41   47     0     0  con    0  1.0D+00  6.3D-02  1.428D-04  2.580D-06
   42   48     0     0  con    0  1.0D+00  1.2D-02  4.540D-05  2.563D-06
   43   49     0     0  con    0  1.0D+00  2.2D-02  5.633D-05  2.541D-06
   44   50     0     0  con    0  1.0D+00  7.6D-02  1.896D-04  2.503D-06
   45   51     0     0  con    0  1.0D+00  1.5D-02  6.929D-05  2.438D-06
   46   52     0     0  con    0  1.0D+00  3.8D-02  4.589D-05  2.370D-06
   47   54     0     0  con    1  4.3D-01  4.2D-02  9.332D-05  2.332D-06
   48   55     0     0  con    0  1.0D+00  2.9D-02  8.995D-05  2.304D-06
   49   56     0     0  con    0  1.0D+00  1.2D-02  3.200D-05  2.285D-06
   50   57     0     0  con    0  1.0D+00  5.6D-02  1.023D-04  2.266D-06
   51   58     0     0  con    0  1.0D+00  7.9D-03  4.969D-05  2.226D-06
   52   60     0     0  con    1  4.9D-01  5.0D-02  7.305D-05  2.163D-06
   53   62     0     0  con    1  4.5D-01  4.8D-02  1.028D-04  2.119D-06
   54   63     0     0  con    0  1.0D+00  1.8D-02  8.758D-05  2.111D-06
   55   64     0     0  con    0  1.0D+00  3.1D-02  5.887D-05  2.074D-06
   56   65     0     0  con    0  1.0D+00  3.3D-03  3.996D-05  2.066D-06
   57   66     0     0  con    0  1.0D+00  2.6D-02  4.096D-05  2.049D-06
   58   67     0     0  con    0  1.0D+00  1.6D-02  2.313D-05  2.041D-06
   59   68     0     0  con    0  1.0D+00  2.8D-02  3.006D-05  2.033D-06
   60   69     0     0  con    0  1.0D+00  1.1D-02  3.421D-05  2.031D-06
   61   70     0     0  con    0  1.0D+00  1.3D-02  9.654D-06  2.028D-06
   62   71     0     0  con    0  1.0D+00  1.4D-03  5.518D-06  2.027D-06
   63   72     0     0  con    0  1.0D+00  6.3D-03  7.188D-06  2.025D-06
   64   73     0     0  con    0  1.0D+00  4.2D-02  1.997D-05  2.013D-06
   65   75     0     0  con    1  4.5D-01  4.3D-02  3.891D-05  2.001D-06
   66   77     0     0  con    1  5.0D-01  7.1D-02  5.069D-05  1.977D-06
   67   78     0     0  con    0  1.0D+00  4.7D-02  3.381D-05  1.963D-06
   68   80     0     0  con    1  1.8D-01  3.0D-02  2.267D-05  1.957D-06
   69   81     0     0  con    0  1.0D+00  1.4D-02  2.328D-05  1.954D-06
   70   82     0     0  con    0  1.0D+00  4.3D-03  1.154D-05  1.954D-06
   71   83     0     0  con    0  1.0D+00  4.1D-03  1.261D-05  1.953D-06
   72   84     0     0  con    0  1.0D+00  3.7D-02  3.096D-05  1.950D-06
   73   85     0     0  con    0  1.0D+00  1.1D-03  1.327D-05  1.948D-06
   74   86     0     0  con    0  1.0D+00  2.2D-02  8.143D-06  1.946D-06
   75   88     0     0  con    1  5.2D-01  2.8D-02  1.362D-05  1.944D-06
   76   89     0     0  con    0  1.0D+00  1.7D-02  5.984D-06  1.943D-06
   77   90     0     0  con    0  1.0D+00  2.2D-02  1.874D-05  1.942D-06
   78   91     0     0  con    0  1.0D+00  2.6D-03  4.347D-06  1.942D-06
   79   92     0     0  con    0  1.0D+00  8.9D-03  2.140D-06  1.942D-06
   80   93     0     0  con    0  1.0D+00  1.4D-02  2.714D-06  1.941D-06
   81   95     0     0  con    1  4.8D-02  2.8D-04  1.837D-06  1.941D-06
   82   96     0     0  con    0  1.0D+00  5.4D-03  1.684D-07  1.941D-06
   83   97     0     0  con    0  1.0D+00  1.7D-03  2.873D-07  1.941D-06
   84   98     0     0  con    0  1.0D+00  4.1D-05  4.176D-08  1.941D-06
   85   99     0     0  con    0  1.0D+00  1.9D-05  5.760D-09  1.941D-06
   86  100     0     0  con    0  1.0D+00  5.9D-05  1.239D-08  1.941D-06
   87  101     0     0  con    0  1.0D+00  3.7D-05  7.804D-09  1.941D-06
   88  102     0     0  con    0  1.0D+00  4.5D-06  1.005D-08  1.941D-06
   89  103     0     0  con    0  1.0D+00  2.2D-06  1.386D-08  1.941D-06
   90  104     0     0  con    0  1.0D+00  7.4D-06  1.911D-08  1.941D-06
   91  105     0     0  con    0  1.0D+00  1.2D-05  3.047D-08  1.941D-06
   92  106     0     0  con    0  1.0D+00  2.9D-05  4.947D-08  1.941D-06
   93  107     0     0  con    0  1.0D+00  8.1D-05  5.096D-08  1.941D-06
   94  109     0     0  con    1  3.8D-03  2.3D-05  1.238D-07  1.941D-06
   95  110     0     0  con    0  1.0D+00  1.8D-04  1.182D-07  1.941D-06
   96  112     0     0  con    1  2.7D-02  2.5D-05  2.359D-07  1.941D-06
   97  113     0     0  con    0  1.0D+00  6.5D-04  1.791D-07  1.941D-06
   98  114     0     0  con    0  1.0D+00  1.6D-03  1.114D-07  1.941D-06
   99  115     0     0  con    0  1.0D+00  4.2D-03  3.068D-07  1.941D-06
  100  116     0     0  con    0  1.0D+00  9.2D-03  6.986D-07  1.941D-06
  101  117     0     0  con    0  1.0D+00  1.7D-02  1.536D-06  1.941D-06
  102  118     0     0  con    0  1.0D+00  1.7D-02  2.100D-06  1.941D-06
  103  119     0     0  con    0  1.0D+00  1.5D-02  8.030D-07  1.941D-06
  104  120     0     0  con    0  1.0D+00  4.6D-03  8.519D-08  1.941D-06
  105  121     0     0  con    0  1.0D+00  2.8D-03  2.024D-07  1.941D-06
  106  122     0     0  con    0  1.0D+00  2.1D-03  6.156D-08  1.941D-06
  107  123     0     0  con    0  1.0D+00  4.0D-03  5.523D-07  1.941D-06
  108  124     0     0  con    0  1.0D+00  4.8D-04  2.465D-07  1.941D-06
  109  125     0     0  con    0  1.0D+00  2.1D-03  1.963D-07  1.941D-06
  110  126     0     0  con    0  1.0D+00  1.7D-03  1.234D-07  1.941D-06
  111  127     0     0  con    0  1.0D+00  7.1D-04  4.374D-08  1.941D-06
  112  128     0     0  con    0  1.0D+00  5.0D-04  8.382D-08  1.941D-06
  113  129     0     0  con    0  1.0D+00  6.2D-04  1.988D-07  1.941D-06
  114  130     0     0  con    0  1.0D+00  1.0D-03  4.022D-07  1.941D-06
  115  131     0     0  con    0  1.0D+00  1.6D-03  7.117D-07  1.941D-06
  116  132     0     0  con    0  1.0D+00  2.0D-03  1.200D-06  1.941D-06
  117  133     0     0  con    0  1.0D+00  2.2D-03  1.935D-06  1.941D-06
  118  134     0     0  con    0  1.0D+00  3.6D-03  2.972D-06  1.941D-06
