RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.593D-05  1.438D-06
    1    4     1     0  ---    2  9.0D-01  2.0D-05  8.124D-06  1.437D-06
    2    6     0     0  con    1  5.0D+00  5.1D-05  7.338D-06  1.437D-06
    3    7     0     0  con    0  1.0D+00  6.4D-04  6.383D-06  1.433D-06
    4    8     0     0  con    0  1.0D+00  5.5D-04  6.627D-06  1.430D-06
    5    9     0     0  con    0  1.0D+00  1.1D-03  3.097D-06  1.427D-06
    6   10     0     0  con    0  1.0D+00  3.1D-04  1.852D-06  1.426D-06
    7   11     0     0  con    0  1.0D+00  8.4D-04  5.167D-06  1.425D-06
    8   12     0     0  con    0  1.0D+00  1.5D-03  9.316D-06  1.423D-06
    9   13     0     0  con    0  1.0D+00  4.9D-03  1.737D-05  1.418D-06
   10   14     0     0  con    0  1.0D+00  1.2D-02  2.849D-05  1.405D-06
   11   15     0     0  con    0  1.0D+00  3.1D-02  4.213D-05  1.373D-06
   12   17     0     0  con    1  1.0D-01  8.3D-03  1.204D-04  1.368D-06
   13   18     0     0  con    0  1.0D+00  6.5D-02  6.948D-05  1.301D-06
   14   19     0     0  con    0  1.0D+00  9.8D-02  1.730D-04  1.212D-06
   15   20     0     0  con    0  1.0D+00  5.8D-02  2.134D-04  1.076D-06
   16   21     0     0  con    0  1.0D+00  6.4D-02  4.571D-05  9.378D-07
   17   22     0     0  con    0  1.0D+00  1.0D-01  3.142D-04  9.147D-07
   18   23     0     0  con    0  1.0D+00  1.1D-02  9.954D-05  8.816D-07
   19   24     0     0  con    0  1.0D+00  4.4D-02  1.211D-05  8.599D-07
   20   25     0     0  con    0  1.0D+00  5.6D-02  2.579D-05  8.499D-07
