RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.337D-05  3.527D-06
    1    4     1     0  ---    2  7.9D-01  3.9D-05  2.639D-05  3.526D-06
    2    6     0     0  con    1  5.0D+00  1.1D-04  2.068D-05  3.523D-06
    3    7     0     0  con    0  1.0D+00  5.9D-04  1.303D-05  3.514D-06
    4    8     0     0  con    0  1.0D+00  4.6D-04  1.501D-05  3.509D-06
    5    9     0     0  con    0  1.0D+00  1.6D-03  1.171D-05  3.497D-06
    6   10     0     0  con    0  1.0D+00  9.7D-04  5.323D-06  3.490D-06
    7   11     0     0  con    0  1.0D+00  1.1D-03  1.292D-05  3.486D-06
    8   12     0     0  con    0  1.0D+00  1.5D-03  2.244D-05  3.482D-06
    9   13     0     0  con    0  1.0D+00  5.3D-03  4.164D-05  3.466D-06
   10   14     0     0  con    0  1.0D+00  1.3D-02  6.822D-05  3.428D-06
   11   15     0     0  con    0  1.0D+00  3.3D-02  1.028D-04  3.335D-06
   12   17     0     0  con    1  2.0D-01  1.7D-02  3.647D-04  3.306D-06
   13   18     0     0  con    0  1.0D+00  7.5D-02  1.809D-04  3.096D-06
   14   19     0     0  con    0  1.0D+00  1.2D-01  3.229D-04  2.829D-06
   15   20     0     0  con    0  1.0D+00  4.7D-02  3.899D-04  2.401D-06
   16   21     0     0  con    0  1.0D+00  8.8D-02  2.751D-04  1.888D-06
   17   22     0     0  con    0  1.0D+00  1.2D-01  8.684D-04  1.820D-06
   18   23     0     0  con    0  1.0D+00  6.7D-03  2.662D-04  1.592D-06
   19   24     0     0  con    0  1.0D+00  8.6D-02  1.516D-04  1.437D-06
   20   25     0     0  con    0  1.0D+00  1.1D-01  3.327D-04  1.375D-06
   21   26     0     0  con    0  1.0D+00  1.6D-03  2.609D-05  1.334D-06
   22   27     0     0  con    0  1.0D+00  3.4D-02  1.022D-05  1.320D-06
   23   28     0     0  con    0  1.0D+00  3.5D-02  4.745D-05  1.314D-06
   24   29     0     0  con    0  1.0D+00  3.9D-03  1.164D-05  1.313D-06
   25   30     0     0  con    0  1.0D+00  3.1D-03  5.786D-06  1.313D-06
   26   31     0     0  con    0  1.0D+00  1.4D-03  7.115D-06  1.313D-06
   27   32     0     0  con    0  1.0D+00  1.8D-04  1.259D-06  1.313D-06
   28   33     0     0  con    0  1.0D+00  1.1D-03  1.114D-06  1.313D-06
   29   34     0     0  con    0  1.0D+00  2.5D-04  2.125D-07  1.313D-06
   30   35     0     0  con    0  1.0D+00  4.8D-04  1.642D-06  1.313D-06
   31   36     0     0  con    0  1.0D+00  2.2D-04  2.594D-06  1.313D-06
   32   37     0     0  con    0  1.0D+00  7.1D-04  5.585D-06  1.313D-06
   33   38     0     0  con    0  1.0D+00  9.1D-04  9.522D-06  1.312D-06
   34   39     0     0  con    0  1.0D+00  1.7D-03  1.669D-05  1.312D-06
   35   40     0     0  con    0  1.0D+00  3.0D-03  2.755D-05  1.312D-06
   36   41     0     0  con    0  1.0D+00  6.3D-03  4.548D-05  1.311D-06
   37   42     0     0  con    0  1.0D+00  1.5D-02  7.430D-05  1.309D-06
   38   43     0     0  con    0  1.0D+00  3.6D-02  1.226D-04  1.303D-06
   39   44     0     0  con    0  1.0D+00  9.5D-02  2.021D-04  1.288D-06
   40   45     0     0  con    0  1.0D+00  2.5D-01  3.232D-04  1.246D-06
   41   46     0     0  con    0  1.0D+00  6.1D-01  4.201D-04  1.159D-06
   42   47     0     0  con    0  1.0D+00  4.5D-01  2.830D-04  1.083D-06
   43   48     0     0  con    0  1.0D+00  1.5D-01  1.917D-05  1.019D-06
   44   49     0     0  con    0  1.0D+00  9.6D-02  2.966D-05  1.016D-06
   45   50     0     0  con    0  1.0D+00  4.5D-02  3.224D-05  1.013D-06
   46   52     0     0  con    1  1.0D-01  6.3D-02  1.315D-04  1.010D-06
   47   53     0     0  con    0  1.0D+00  9.3D-02  1.194D-04  9.993D-07
   48   54     0     0  con    0  1.0D+00  5.5D-01  4.705D-05  9.303D-07
   49   55     0     0  con    0  1.0D+00  8.6D-01  1.812D-04  8.454D-07
   50   56     0     0  con    0  1.0D+00  2.8D-01  1.935D-04  8.044D-07
   51   58     0     0  con    1  1.6D-01  5.1D-01  5.127D-05  7.519D-07
   52   59     0     0  con    0  1.0D+00  4.8D-01  4.021D-05  7.320D-07
   53   60     0     0  con    0  1.0D+00  1.3D-02  1.382D-05  7.238D-07
   54   61     0     0  con    0  1.0D+00  1.5D-01  1.123D-04  7.190D-07
   55   62     0     0  con    0  1.0D+00  5.8D-03  2.868D-05  7.159D-07
   56   63     0     0  con    0  1.0D+00  6.8D-03  1.223D-05  7.147D-07
   57   64     0     0  con    0  1.0D+00  1.6D-02  4.455D-06  7.133D-07
   58   65     0     0  con    0  1.0D+00  3.7D-02  1.079D-05  7.126D-07
   59   66     0     0  con    0  1.0D+00  1.1D-01  1.521D-05  7.116D-07
   60   67     0     0  con    0  1.0D+00  1.3D-01  1.466D-05  7.114D-07
   61   69     0     0  con    1  3.0D-01  1.3D-02  5.143D-06  7.112D-07
   62   70     0     0  con    0  1.0D+00  3.5D-02  3.599D-07  7.112D-07
   63   71     0     0  con    0  1.0D+00  3.8D-03  1.763D-07  7.112D-07
   64   73     0     0  con    1  4.8D-01  2.1D-03  1.041D-07  7.112D-07
   65   74     0     0  con    0  1.0D+00  1.9D-04  8.910D-09  7.112D-07
   66   76     0     0  con    1  4.7D-01  2.2D-05  2.724D-09  7.112D-07
   67   79     0     0  con    2  7.2D-03  4.2D-06  2.213D-09  7.112D-07
   68   84     0     0  con    4  0.0D+00  0.0D+00  2.232D-09  7.112D-07

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.238E+02 seconds.

