RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.006D-05  9.937D-07
    1    3     1     0  ---    1  1.8D+00  2.7D-05  1.978D-05  9.937D-07
    2    4     0     0  con    0  1.0D+00  9.6D-06  7.251D-06  9.935D-07
    3    5     0     0  con    0  1.0D+00  1.8D-05  7.357D-06  9.934D-07
    4    6     0     0  con    0  1.0D+00  7.9D-05  1.613D-05  9.929D-07
    5    7     0     0  con    0  1.0D+00  1.4D-04  2.450D-05  9.923D-07
    6    8     0     0  con    0  1.0D+00  2.0D-04  1.889D-05  9.915D-07
    7    9     0     0  con    0  1.0D+00  2.8D-04  9.040D-06  9.904D-07
    8   10     0     0  con    0  1.0D+00  5.9D-04  1.505D-05  9.886D-07
    9   11     0     0  con    0  1.0D+00  4.8D-04  2.575D-05  9.873D-07
   10   12     0     0  con    0  1.0D+00  4.2D-04  1.787D-05  9.862D-07
   11   13     0     0  con    0  1.0D+00  9.1D-05  3.147D-06  9.860D-07
   12   14     0     0  con    0  1.0D+00  3.9D-05  2.061D-06  9.859D-07
   13   15     0     0  con    0  1.0D+00  1.9D-05  3.310D-06  9.859D-07
   14   16     0     0  con    0  1.0D+00  5.6D-05  6.343D-06  9.859D-07
   15   17     0     0  con    0  1.0D+00  9.9D-05  1.022D-05  9.858D-07
   16   18     0     0  con    0  1.0D+00  2.5D-04  1.803D-05  9.856D-07
   17   19     0     0  con    0  1.0D+00  6.4D-04  2.782D-05  9.850D-07
   18   20     0     0  con    0  1.0D+00  1.7D-03  4.713D-05  9.835D-07
   19   21     0     0  con    0  1.0D+00  4.5D-03  7.443D-05  9.795D-07
   20   22     0     0  con    0  1.0D+00  1.2D-02  1.201D-04  9.695D-07
   21   23     0     0  con    0  1.0D+00  2.8D-02  1.771D-04  9.463D-07
   22   24     0     0  con    0  1.0D+00  5.6D-02  2.771D-04  9.027D-07
   23   25     0     0  con    0  1.0D+00  7.5D-02  2.744D-04  8.354D-07
   24   27     0     0  con    1  8.9D-03  8.7D-03  3.803D-04  8.318D-07
   25   28     0     0  con    0  1.0D+00  7.1D-02  2.628D-04  7.232D-07
   26   29     0     0  con    0  1.0D+00  6.2D-02  3.983D-05  6.214D-07
   27   30     0     0  con    0  1.0D+00  8.6D-02  1.323D-04  5.912D-07
   28   31     0     0  con    0  1.0D+00  3.9D-02  1.554D-05  5.601D-07
   29   32     0     0  con    0  1.0D+00  6.7D-02  2.227D-05  5.427D-07
   30   33     0     0  con    0  1.0D+00  1.1D-02  1.091D-05  5.384D-07
   31   34     0     0  con    0  1.0D+00  1.5D-02  1.555D-05  5.355D-07
   32   35     0     0  con    0  1.0D+00  2.2D-03  5.718D-07  5.354D-07
   33   36     0     0  con    0  1.0D+00  4.2D-03  5.336D-07  5.354D-07
   34   37     0     0  con    0  1.0D+00  1.5D-04  3.746D-08  5.354D-07
   35   38     0     0  con    0  1.0D+00  2.0D-06  4.244D-08  5.354D-07
   36   39     0     0  con    0  1.0D+00  2.0D-04  1.648D-07  5.354D-07
   37   41     0     0  con    1  5.0D+00  4.6D-04  4.027D-07  5.354D-07
   38   42     0     0  con    0  1.0D+00  7.4D-04  6.173D-07  5.354D-07
   39   43     0     0  con    0  1.0D+00  1.4D-03  8.997D-07  5.353D-07
   40   44     0     0  con    0  1.0D+00  2.2D-03  1.316D-06  5.353D-07
   41   45     0     0  con    0  1.0D+00  4.6D-03  2.010D-06  5.352D-07
   42   46     0     0  con    0  1.0D+00  9.4D-03  3.187D-06  5.350D-07
   43   47     0     0  con    0  1.0D+00  2.2D-02  1.642D-05  5.344D-07
   44   48     0     0  con    0  1.0D+00  5.7D-02  5.181D-06  2.138D-07
   45   53     0     0  con    4  0.0D+00  0.0D+00  5.181D-06  5.332D-07

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 1.588E+02 seconds.

