RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.358D-02  6.809D-02
    1    2     1     0  ---    0  1.9D+01  1.0D+00  5.499D-02  1.563D-02
    2    3     0     0  con    0  1.0D+00  3.4D-01  5.799D-02  1.270D-02
    3    4     0     0  con    0  1.0D+00  4.9D-01  2.301D-02  3.396D-03
    4    5     0     0  con    0  1.0D+00  2.3D-01  1.749D-02  1.685D-03
    5    6     0     0  con    0  1.0D+00  5.6D-02  4.476D-03  1.077D-03
    6    7     0     0  con    0  1.0D+00  1.6D-02  1.388D-03  1.037D-03
    7    8     0     0  con    0  1.0D+00  5.9D-03  1.435D-03  1.028D-03
    8    9     0     0  con    0  1.0D+00  7.6D-02  2.876D-03  9.513D-04
    9   10     0     0  con    0  1.0D+00  9.1D-02  4.147D-03  8.685D-04
   10   11     0     0  con    0  1.0D+00  2.8D-01  6.040D-03  6.411D-04
   11   12     0     0  con    0  1.0D+00  2.8D-01  4.782D-03  4.211D-04
   12   13     0     0  con    0  1.0D+00  2.1D-01  9.591D-04  3.033D-04
   13   14     0     0  con    0  1.0D+00  9.5D-02  3.831D-04  2.928D-04
   14   15     0     0  con    0  1.0D+00  3.6D-02  2.525D-04  2.915D-04
   15   16     0     0  con    0  1.0D+00  1.4D-02  4.767D-05  2.913D-04
   16   17     0     0  con    0  1.0D+00  1.4D-03  3.743D-05  2.913D-04
   17   18     0     0  con    0  1.0D+00  5.0D-03  1.124D-04  2.912D-04
   18   19     0     0  con    0  1.0D+00  8.2D-03  2.098D-04  2.910D-04
   19   20     0     0  con    0  1.0D+00  2.2D-02  3.859D-04  2.903D-04
   20   21     0     0  con    0  1.0D+00  5.3D-02  6.549D-04  2.887D-04
