RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     5.123D-06  1.355D-07
    1    4     1     0  ---    2  1.7D+02  1.4D-03  2.020D-06  1.314D-07
    2    5     0     0  con    0  1.0D+00  2.8D-04  9.580D-07  1.310D-07
    3    6     0     0  con    0  1.0D+00  3.0D-04  8.016D-07  1.307D-07
    4    7     0     0  con    0  1.0D+00  9.4D-04  9.554D-07  1.301D-07
    5    8     0     0  con    0  1.0D+00  1.2D-03  9.818D-07  1.294D-07
    6    9     0     0  con    0  1.0D+00  3.5D-03  1.153D-06  1.281D-07
    7   10     0     0  con    0  1.0D+00  1.7D-03  1.221D-06  1.280D-07
    8   11     0     0  con    0  1.0D+00  4.8D-04  1.830D-07  1.277D-07
    9   12     0     0  con    0  1.0D+00  1.3D-04  1.485D-07  1.277D-07
   10   13     0     0  con    0  1.0D+00  2.4D-04  2.096D-07  1.276D-07
   11   14     0     0  con    0  1.0D+00  1.0D-03  3.525D-07  1.275D-07
   12   15     0     0  con    0  1.0D+00  2.7D-03  6.880D-07  1.273D-07
   13   16     0     0  con    0  1.0D+00  7.7D-03  1.260D-06  1.266D-07
   14   17     0     0  con    0  1.0D+00  2.1D-02  2.070D-06  1.248D-07
   15   18     0     0  con    0  1.0D+00  5.2D-02  2.888D-06  1.206D-07
   16   19     0     0  con    0  1.0D+00  1.1D-01  4.027D-06  1.130D-07
   17   20     0     0  con    0  1.0D+00  1.1D-01  5.272D-06  1.027D-07
   18   21     0     0  con    0  1.0D+00  1.8D-01  5.049D-06  7.767D-08
   19   22     0     0  con    0  1.0D+00  1.4D-01  4.999D-06  6.260D-08
   20   24     0     0  con    1  3.3D-01  1.3D-01  1.671D-06  5.113D-08
   21   26     0     0  con    1  4.9D-01  6.1D-02  2.083D-06  4.870D-08
   22   27     0     0  con    0  1.0D+00  2.3D-02  2.461D-06  4.589D-08
   23   28     0     0  con    0  1.0D+00  6.1D-02  3.102D-06  4.224D-08
   24   29     0     0  con    0  1.0D+00  2.1D-01  4.470D-06  3.010D-08
   25   30     0     0  con    0  1.0D+00  2.4D-02  1.456D-06  2.685D-08
   26   31     0     0  con    0  1.0D+00  9.0D-02  2.995D-06  2.318D-08
   27   32     0     0  con    0  1.0D+00  1.5D-02  1.927D-06  2.212D-08
   28   33     0     0  con    0  1.0D+00  3.0D-02  1.046D-06  2.032D-08
   29   34     0     0  con    0  1.0D+00  1.0D-01  9.538D-07  1.725D-08
   30   35     0     0  con    0  1.0D+00  1.5D-01  1.931D-06  1.472D-08
   31   36     0     0  con    0  1.0D+00  6.9D-02  3.453D-07  1.217D-08
   32   37     0     0  con    0  1.0D+00  1.4D-01  1.792D-06  1.117D-08
   33   38     0     0  con    0  1.0D+00  1.8D-02  4.972D-07  1.030D-08
   34   39     0     0  con    0  1.0D+00  4.8D-02  4.962D-07  9.888D-09
   35   40     0     0  con    0  1.0D+00  1.3D-01  9.891D-07  9.539D-09
   36   41     0     0  con    0  1.0D+00  2.3D-02  7.129D-08  9.291D-09
   37   42     0     0  con    0  1.0D+00  2.6D-02  5.317D-08  9.234D-09
   38   43     0     0  con    0  1.0D+00  2.9D-02  9.733D-08  9.215D-09
   39   44     0     0  con    0  1.0D+00  9.5D-04  1.578D-08  9.212D-09
   40   45     0     0  con    0  1.0D+00  1.6D-03  3.115D-09  9.212D-09
   41   46     0     0  con    0  1.0D+00  1.2D-04  1.023D-09  9.212D-09
   42   48     0     0  con    1  5.0D+00  7.5D-05  2.463D-09  9.212D-09
   43   49     0     0  con    0  1.0D+00  9.9D-05  4.186D-09  9.212D-09
   44   50     0     0  con    0  1.0D+00  3.5D-04  9.960D-09  9.212D-09
   45   51     0     0  con    0  1.0D+00  4.9D-04  1.743D-08  9.212D-09
