RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.366D+02  1.880D+03
    1    2     1     0  ---    0  2.3D-03  1.0D+00  2.928D+02  1.465D+03
    2    3     0     0  con    0  1.0D+00  6.6D+00  5.115D+01  1.020D+02
    3    4     0     0  con    0  1.0D+00  1.3D+00  2.560D+01  4.339D+01
    4    5     0     0  con    0  1.0D+00  1.3D+00  1.064D+01  1.935D+01
    5    6     0     0  con    0  1.0D+00  1.3D+00  4.164D+00  7.949D+00
    6    7     0     0  con    0  1.0D+00  1.5D+00  1.516D+00  1.077D+00
    7    8     0     0  con    0  1.0D+00  7.0D-01  4.423D-01  1.569D-01
    8    9     0     0  con    0  1.0D+00  2.7D-01  1.837D-01  4.475D-02
    9   10     0     0  con    0  1.0D+00  1.9D-01  6.786D-02  1.363D-02
   10   11     0     0  con    0  1.0D+00  1.1D-01  2.447D-02  7.735D-03
   11   12     0     0  con    0  1.0D+00  5.7D-02  1.127D-02  6.559D-03
   12   13     0     0  con    0  1.0D+00  6.4D-02  1.068D-02  5.787D-03
   13   14     0     0  con    0  1.0D+00  1.7D-01  8.831D-03  4.197D-03
   14   15     0     0  con    0  1.0D+00  3.8D-01  3.723D-03  1.688D-03
   15   16     0     0  con    0  1.0D+00  3.1D-01  2.816D-03  8.760D-04
   16   17     0     0  con    0  1.0D+00  1.8D-01  5.348D-03  7.762D-04
   17   18     0     0  con    0  1.0D+00  1.1D-01  3.111D-03  6.864D-04
   18   19     0     0  con    0  1.0D+00  1.9D-02  2.130D-03  6.702D-04
   19   20     0     0  con    0  1.0D+00  1.6D-02  1.363D-03  6.386D-04
   20   21     0     0  con    0  1.0D+00  6.5D-02  4.292D-03  5.487D-04
   21   22     0     0  con    0  1.0D+00  1.1D-01  5.902D-03  4.384D-04
   22   23     0     0  con    0  1.0D+00  3.0D-01  4.618D-03  2.316D-04
   23   24     0     0  con    0  1.0D+00  4.6D-01  1.160D-03  8.886D-05
   24   25     0     0  con    0  1.0D+00  7.7D-03  5.814D-04  8.680D-05
   25   26     0     0  con    0  1.0D+00  1.5D-02  3.445D-04  8.479D-05
   26   27     0     0  con    0  1.0D+00  3.5D-02  1.283D-04  8.113D-05
   27   28     0     0  con    0  1.0D+00  1.2D-01  8.417D-05  7.578D-05
   28   29     0     0  con    0  1.0D+00  8.1D-02  8.475D-05  7.346D-05
   29   30     0     0  con    0  1.0D+00  1.1D-01  1.351D-04  6.967D-05
   30   31     0     0  con    0  1.0D+00  3.1D-01  1.946D-04  5.831D-05
   31   32     0     0  con    0  1.0D+00  8.0D-01  1.222D-03  3.275D-05
   32   33     0     0  con    0  1.0D+00  6.0D-01  1.448D-03  2.263D-05
   33   34     0     0  con    0  1.0D+00  2.9D-01  7.992D-04  1.840D-05
   34   35     0     0  con    0  1.0D+00  5.9D-01  7.815D-04  8.338D-06
   35   36     0     0  con    0  1.0D+00  5.8D-02  3.750D-04  6.720D-06
   36   37     0     0  con    0  1.0D+00  5.0D-01  5.756D-04  5.114D-06
   37   38     0     0  con    0  1.0D+00  1.4D-01  1.281D-04  3.824D-06
   38   39     0     0  con    0  1.0D+00  5.0D-02  9.714D-05  3.557D-06
   39   40     0     0  con    0  1.0D+00  6.7D-02  3.607D-05  2.488D-06
   40   41     0     0  con    0  1.0D+00  4.4D-01  2.521D-04  1.311D-06
   41   42     0     0  con    0  1.0D+00  2.5D-02  7.931D-05  7.434D-07
   42   43     0     0  con    0  1.0D+00  2.8D-01  3.863D-05  2.319D-07
   43   44     0     0  con    0  1.0D+00  6.3D-02  4.538D-05  1.793D-07
   44   45     0     0  con    0  1.0D+00  2.0D-02  1.663D-06  1.722D-07
   45   46     0     0  con    0  1.0D+00  9.7D-03  1.800D-06  1.715D-07
   46   47     0     0  con    0  1.0D+00  2.0D-03  1.387D-07  1.714D-07
   47   48     0     0  con    0  1.0D+00  7.9D-05  2.115D-08  1.714D-07
   48   49     0     0  con    0  1.0D+00  3.3D-05  1.972D-08  1.714D-07
   49   50     0     0  con    0  1.0D+00  7.4D-05  9.188D-08  1.714D-07
   50   51     0     0  con    0  1.0D+00  2.6D-05  6.612D-08  1.714D-07
   51   52     0     0  con    0  1.0D+00  1.1D-04  7.884D-08  1.714D-07
   52   53     0     0  con    0  1.0D+00  1.6D-04  2.495D-07  1.714D-07
   53   54     0     0  con    0  1.0D+00  3.9D-04  5.585D-07  1.714D-07
   54   55     0     0  con    0  1.0D+00  9.4D-04  1.039D-06  1.713D-07
   55   56     0     0  con    0  1.0D+00  2.6D-03  1.886D-06  1.713D-07
   56   57     0     0  con    0  1.0D+00  6.8D-03  3.141D-06  1.712D-07
   57   58     0     0  con    0  1.0D+00  1.8D-02  5.463D-06  1.710D-07
   58   59     0     0  con    0  1.0D+00  5.0D-02  8.678D-06  1.704D-07
   59   60     0     0  con    0  1.0D+00  1.6D-01  1.475D-05  1.682D-07
   60   63     0     0  con    2  5.2D-01  9.9D-01  1.734D-05  1.511D-07
   61   64     0     0  con    0  1.0D+00  3.5D-02  7.597D-06  1.484D-07
   62   65     0     0  con    0  1.0D+00  7.5D-02  8.821D-06  1.479D-07
   63   67     0     0  con    1  5.2D-01  1.2D-01  1.948D-05  1.448D-07
   64   68     0     0  con    0  1.0D+00  4.9D-02  1.709D-05  1.426D-07
   65   69     0     0  con    0  1.0D+00  8.9D-02  1.267D-05  1.406D-07
   66   70     0     0  con    0  1.0D+00  1.2D-01  9.380D-06  1.386D-07
   67   71     0     0  con    0  1.0D+00  3.2D-01  9.818D-06  1.336D-07
   68   72     0     0  con    0  1.0D+00  5.9D-01  2.924D-05  1.257D-07
   69   73     0     0  con    0  1.0D+00  3.3D-01  1.376D-05  1.175D-07
   70   75     0     0  con    1  3.7D-01  3.0D-01  4.413D-06  1.114D-07
   71   77     0     0  con    1  1.6D-01  2.5D-01  9.777D-06  1.085D-07
   72   78     0     0  con    0  1.0D+00  2.2D-01  1.107D-05  1.065D-07
   73   79     0     0  con    0  1.0D+00  1.0D-02  4.270D-06  1.039D-07
   74   80     0     0  con    0  1.0D+00  3.0D-01  7.822D-06  9.638D-08
   75   82     0     0  con    1  4.0D-01  3.5D-01  1.407D-05  8.865D-08
   76   83     0     0  con    0  1.0D+00  4.1D-01  1.793D-05  7.994D-08
   77   85     0     0  con    1  4.4D-02  6.2D-02  1.781D-05  7.958D-08
   78   86     0     0  con    0  1.0D+00  9.4D-02  5.167D-06  7.834D-08
   79   87     0     0  con    0  1.0D+00  1.2D-01  7.606D-06  7.727D-08
   80   88     0     0  con    0  1.0D+00  9.6D-02  1.031D-05  7.615D-08
   81   89     0     0  con    0  1.0D+00  3.3D-01  2.147D-05  7.245D-08
   82   90     0     0  con    0  1.0D+00  2.9D-01  2.448D-05  6.748D-08
   83   91     0     0  con    0  1.0D+00  5.9D-01  3.622D-05  6.492D-08
   84   93     0     0  con    1  5.1D-01  7.7D-02  7.335D-06  6.096D-08
   85   94     0     0  con    0  1.0D+00  2.2D-01  6.528D-06  5.657D-08
   86   96     0     0  con    1  4.9D-01  1.6D-01  1.257D-05  5.392D-08
   87   97     0     0  con    0  1.0D+00  5.8D-01  2.723D-05  4.981D-08
   88   98     0     0  con    0  1.0D+00  3.5D-01  1.530D-05  4.470D-08
   89   99     0     0  con    0  1.0D+00  3.6D-01  1.797D-06  3.986D-08
   90  101     0     0  con    1  2.1D-01  3.6D-01  8.171D-06  3.759D-08
   91  102     0     0  con    0  1.0D+00  7.0D-01  2.198D-05  3.415D-08
   92  103     0     0  con    0  1.0D+00  1.1D-01  8.730D-06  2.929D-08
   93  104     0     0  con    0  1.0D+00  6.1D-01  1.634D-05  2.557D-08
   94  105     0     0  con    0  1.0D+00  7.3D-01  2.025D-05  2.274D-08
   95  106     0     0  con    0  1.0D+00  2.8D-01  8.328D-07  1.859D-08
   96  107     0     0  con    0  1.0D+00  6.2D-01  1.094D-05  1.656D-08
   97  108     0     0  con    0  1.0D+00  2.3D-01  9.482D-06  1.447D-08
   98  109     0     0  con    0  1.0D+00  4.7D-01  1.263D-05  1.195D-08
   99  111     0     0  con    1  1.8D-01  3.8D-01  9.531D-06  1.035D-08
  100  113     0     0  con    1  3.8D-01  8.9D-02  4.775D-06  9.645D-09
  101  115     0     0  con    1  4.4D-01  4.0D-01  3.269D-06  8.355D-09
  102  117     0     0  con    1  4.5D-01  4.4D-01  8.080D-06  7.312D-09
  103  118     0     0  con    0  1.0D+00  2.7D-01  9.243D-06  6.004D-09
  104  119     0     0  con    0  1.0D+00  3.5D-01  7.851D-06  4.979D-09
  105  120     0     0  con    0  1.0D+00  3.0D-01  7.065D-07  4.032D-09
  106  122     0     0  con    1  1.9D-01  3.6D-01  3.535D-06  3.407D-09
  107  124     0     0  con    1  5.2D-01  2.6D-01  5.462D-06  3.136D-09
  108  125     0     0  con    0  1.0D+00  2.4D-01  3.725D-06  2.739D-09
  109  126     0     0  con    0  1.0D+00  2.6D-01  9.552D-07  2.307D-09
  110  128     0     0  con    1  4.0D-01  2.3D-01  1.960D-06  2.140D-09
  111  129     0     0  con    0  1.0D+00  4.5D-01  3.098D-06  1.840D-09
  112  130     0     0  con    0  1.0D+00  2.1D-01  1.680D-06  1.461D-09
  113  132     0     0  con    1  3.9D-01  2.8D-01  1.098D-06  1.239D-09
  114  134     0     0  con    1  3.9D-01  3.8D-01  4.845D-06  9.374D-10
  115  135     0     0  con    0  1.0D+00  2.3D-01  2.696D-06  5.628D-10
  116  137     0     0  con    1  3.5D-01  2.5D-01  3.257D-06  4.269D-10
  117  138     0     0  con    0  1.0D+00  3.1D-01  1.859D-06  2.143D-10
  118  139     0     0  con    0  1.0D+00  4.5D-02  1.063D-06  1.915D-10
  119  140     0     0  con    0  1.0D+00  1.0D-01  1.375D-07  1.806D-10
  120  141     0     0  con    0  1.0D+00  1.9D-02  1.571D-07  1.791D-10
  121  142     0     0  con    0  1.0D+00  4.8D-03  6.018D-07  1.758D-10
  122  143     0     0  con    0  1.0D+00  1.4D-02  4.286D-08  1.724D-10
  123  144     0     0  con    0  1.0D+00  9.2D-03  1.504D-08  1.721D-10
  124  145     0     0  con    0  1.0D+00  9.8D-04  7.484D-09  1.721D-10
  125  146     0     0  con    0  1.0D+00  4.6D-03  3.067D-09  1.721D-10
  126  147     0     0  con    0  1.0D+00  3.1D-03  4.203D-09  1.721D-10
  127  148     0     0  con    0  1.0D+00  5.8D-04  3.196D-09  1.721D-10
  128  149     0     0  con    0  1.0D+00  4.9D-04  4.967D-10  1.721D-10
  129  151     0     0  con    1  2.9D-01  7.5D-06  1.419D-10  1.721D-10
  130  152     0     0  con    0  1.0D+00  2.9D-06  4.201D-12  1.721D-10
  131  158     0     0  con    5  1.5D-09  2.7D-15  4.202D-12  1.721D-10

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 7.357E+01 seconds.

