RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.458D-05  7.370D-08
    1    4     1     0  ---    2  1.3D+01  2.7D-04  1.163D-05  7.075D-08
    2    5     0     0  con    0  1.0D+00  1.9D-04  1.665D-06  6.955D-08
    3    6     0     0  con    0  1.0D+00  2.4D-05  1.986D-07  6.953D-08
    4    9     0     0  con    2  2.1D+01  2.9D-05  3.110D-07  6.952D-08
    5   10     0     0  con    0  1.0D+00  3.4D-04  1.518D-06  6.947D-08
    6   11     0     0  con    0  1.0D+00  7.0D-04  2.571D-06  6.938D-08
    7   12     0     0  con    0  1.0D+00  1.2D-03  2.870D-06  6.925D-08
    8   13     0     0  con    0  1.0D+00  1.2D-03  2.108D-06  6.912D-08
    9   14     0     0  con    0  1.0D+00  1.6D-03  6.010D-07  6.897D-08
   10   15     0     0  con    0  1.0D+00  7.0D-04  2.049D-06  6.889D-08
   11   16     0     0  con    0  1.0D+00  1.2D-03  3.978D-06  6.875D-08
   12   17     0     0  con    0  1.0D+00  2.2D-03  5.770D-06  6.849D-08
   13   18     0     0  con    0  1.0D+00  4.5D-03  6.646D-06  6.804D-08
   14   19     0     0  con    0  1.0D+00  5.8D-03  4.073D-06  6.771D-08
   15   20     0     0  con    0  1.0D+00  1.6D-03  2.345D-06  6.745D-08
   16   21     0     0  con    0  1.0D+00  3.6D-04  4.508D-07  6.738D-08
   17   22     0     0  con    0  1.0D+00  2.0D-04  5.707D-08  6.738D-08
   18   23     0     0  con    0  1.0D+00  5.2D-05  1.122D-08  6.738D-08
   19   24     0     0  con    0  1.0D+00  5.8D-06  9.513D-09  6.738D-08
   20   25     0     0  con    0  1.0D+00  3.5D-05  4.319D-08  6.738D-08
   21   26     0     0  con    0  1.0D+00  4.2D-05  8.348D-08  6.738D-08
   22   27     0     0  con    0  1.0D+00  7.9D-05  1.582D-07  6.738D-08
   23   28     0     0  con    0  1.0D+00  1.3D-04  2.735D-07  6.738D-08
   24   29     0     0  con    0  1.0D+00  2.4D-04  4.638D-07  6.738D-08
   25   30     0     0  con    0  1.0D+00  4.9D-04  7.629D-07  6.737D-08
   26   31     0     0  con    0  1.0D+00  1.1D-03  1.245D-06  6.737D-08
   27   32     0     0  con    0  1.0D+00  2.8D-03  2.005D-06  6.734D-08
   28   33     0     0  con    0  1.0D+00  7.3D-03  3.303D-06  6.728D-08
   29   34     0     0  con    0  1.0D+00  1.9D-02  5.071D-06  6.711D-08
   30   35     0     0  con    0  1.0D+00  5.0D-02  9.603D-06  6.669D-08
   31   36     0     0  con    0  1.0D+00  1.3D-01  1.349D-05  6.559D-08
   32   37     0     0  con    0  1.0D+00  4.2D-01  3.042D-05  6.232D-08
   33   39     0     0  con    1  4.1D-01  3.5D-01  3.067D-05  5.949D-08
   34   41     0     0  con    1  3.4D-01  4.8D-01  2.936D-05  5.600D-08
   35   42     0     0  con    0  1.0D+00  4.6D-01  8.095D-06  5.177D-08
   36   43     0     0  con    0  1.0D+00  1.1D-01  1.050D-05  4.912D-08
   37   44     0     0  con    0  1.0D+00  1.7D-01  9.078D-06  4.816D-08
   38   45     0     0  con    0  1.0D+00  5.9D-02  2.307D-06  4.744D-08
   39   46     0     0  con    0  1.0D+00  1.2D-01  5.122D-06  4.688D-08
   40   47     0     0  con    0  1.0D+00  1.9D-03  5.088D-06  4.677D-08
   41   48     0     0  con    0  1.0D+00  3.6D-01  1.980D-05  4.218D-08
   42   49     0     0  con    0  1.0D+00  4.8D-01  2.785D-05  3.563D-08
   43   50     0     0  con    0  1.0D+00  2.6D-01  1.419D-05  2.996D-08
   44   52     0     0  con    1  4.4D-01  4.6D-01  1.828D-05  2.693D-08
   45   53     0     0  con    0  1.0D+00  4.3D-01  1.225D-05  2.217D-08
   46   54     0     0  con    0  1.0D+00  4.1D-01  4.629D-06  1.783D-08
   47   56     0     0  con    1  3.7D-01  4.3D-01  1.145D-05  1.598D-08
   48   57     0     0  con    0  1.0D+00  7.0D-01  1.368D-05  1.164D-08
   49   58     0     0  con    0  1.0D+00  3.6D-01  1.090D-05  9.035D-09
