RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.297D-04  3.490D-06
    1    4     1     0  ---    2  1.9D+00  2.7D-04  6.473D-06  3.470D-06
    2    5     0     0  con    0  1.0D+00  2.2D-05  6.020D-06  3.470D-06
    3    6     0     0  con    0  1.0D+00  8.8D-05  8.829D-06  3.470D-06
    4    7     0     0  con    0  1.0D+00  1.7D-04  1.456D-05  3.469D-06
    5    8     0     0  con    0  1.0D+00  4.1D-04  2.118D-05  3.467D-06
    6    9     0     0  con    0  1.0D+00  1.3D-03  3.344D-05  3.461D-06
    7   10     0     0  con    0  1.0D+00  3.6D-03  5.247D-05  3.445D-06
    8   11     0     0  con    0  1.0D+00  8.8D-03  7.818D-05  3.409D-06
    9   12     0     0  con    0  1.0D+00  1.9D-02  1.035D-04  3.337D-06
   10   13     0     0  con    0  1.0D+00  2.9D-02  1.052D-04  3.231D-06
   11   14     0     0  con    0  1.0D+00  6.9D-02  1.517D-04  2.997D-06
   12   15     0     0  con    0  1.0D+00  8.9D-02  2.536D-04  2.573D-06
   13   17     0     0  con    1  3.8D-01  2.7D-01  2.226D-04  1.430D-06
   14   19     0     0  con    1  4.2D-01  1.1D-01  1.448D-04  1.174D-06
   15   20     0     0  con    0  1.0D+00  2.8D-02  1.396D-04  8.655D-07
   16   22     0     0  con    1  5.3D-02  1.0D-02  1.792D-04  8.014D-07
   17   23     0     0  con    0  1.0D+00  1.3D-02  7.836D-05  6.005D-07
   18   24     0     0  con    0  1.0D+00  4.8D-02  9.381D-05  5.486D-07
   19   25     0     0  con    0  1.0D+00  8.6D-02  3.681D-05  4.415D-07
   20   26     0     0  con    0  1.0D+00  4.1D-02  1.084D-05  4.248D-07
   21   27     0     0  con    0  1.0D+00  1.4D-02  1.172D-06  4.231D-07
   22   28     0     0  con    0  1.0D+00  3.2D-03  6.624D-07  4.231D-07
   23   29     0     0  con    0  1.0D+00  2.2D-04  3.042D-07  4.231D-07
   24   31     0     0  con    1  5.0D+00  2.2D-04  9.682D-07  4.231D-07
   25   32     0     0  con    0  1.0D+00  1.5D-03  4.154D-06  4.230D-07
   26   33     0     0  con    0  1.0D+00  3.5D-03  8.640D-06  4.227D-07
   27   34     0     0  con    0  1.0D+00  9.9D-03  1.525D-05  4.220D-07
