RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.039D-04  9.918D-06
    1    4     1     0  ---    2  1.7D+00  3.7D-04  1.076D-05  9.876D-06
    2    5     0     0  con    0  1.0D+00  2.6D-05  1.077D-05  9.875D-06
    3    6     0     0  con    0  1.0D+00  3.2D-04  2.813D-05  9.872D-06
    4    7     0     0  con    0  1.0D+00  6.9D-04  6.082D-05  9.866D-06
    5    8     0     0  con    0  1.0D+00  2.0D-03  1.104D-04  9.850D-06
    6    9     0     0  con    0  1.0D+00  4.5D-03  1.618D-04  9.818D-06
    7   10     0     0  con    0  1.0D+00  8.1D-03  1.911D-04  9.761D-06
    8   11     0     0  con    0  1.0D+00  1.7D-02  2.272D-04  9.663D-06
    9   12     0     0  con    0  1.0D+00  1.4D-02  6.861D-05  9.611D-06
   10   13     0     0  con    0  1.0D+00  3.6D-03  3.513D-05  9.573D-06
   11   14     0     0  con    0  1.0D+00  2.8D-03  3.997D-05  9.549D-06
   12   15     0     0  con    0  1.0D+00  1.3D-03  8.198D-05  9.533D-06
   13   16     0     0  con    0  1.0D+00  5.0D-03  1.631D-04  9.483D-06
   14   17     0     0  con    0  1.0D+00  1.3D-02  2.671D-04  9.371D-06
   15   18     0     0  con    0  1.0D+00  4.7D-02  4.531D-04  9.017D-06
   16   22     0     0  con    3  3.9D+00  5.8D-01  4.774D-04  4.771D-06
   17   24     0     0  con    1  1.2D-01  1.2D-01  1.661D-04  4.277D-06
   18   26     0     0  con    1  5.2D-01  4.2D-02  5.205D-04  3.043D-06
   19   27     0     0  con    0  1.0D+00  1.4D-01  3.969D-04  2.020D-06
   20   28     0     0  con    0  1.0D+00  7.1D-02  2.499D-04  1.810D-06
   21   29     0     0  con    0  1.0D+00  3.5D-02  1.805D-04  1.712D-06
   22   30     0     0  con    0  1.0D+00  1.3D-01  1.281D-04  1.380D-06
   23   31     0     0  con    0  1.0D+00  1.2D-01  1.099D-04  1.016D-06
   24   32     0     0  con    0  1.0D+00  1.9D-01  2.318D-04  8.465D-07
