RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     6.018D-04  9.326D-05
    1    4     1     0  ---    2  1.8D+00  1.2D-03  7.870D-05  9.284D-05
    2    5     0     0  con    0  1.0D+00  2.2D-04  6.415D-05  9.282D-05
    3    6     0     0  con    0  1.0D+00  1.0D-03  4.826D-05  9.276D-05
    4    7     0     0  con    0  1.0D+00  7.7D-04  6.084D-05  9.273D-05
    5    8     0     0  con    0  1.0D+00  1.0D-02  1.500D-04  9.238D-05
    6    9     0     0  con    0  1.0D+00  2.1D-02  2.686D-04  9.174D-05
    7   10     0     0  con    0  1.0D+00  5.9D-02  4.759D-04  9.016D-05
    8   11     0     0  con    0  1.0D+00  9.6D-02  6.600D-04  8.768D-05
    9   12     0     0  con    0  1.0D+00  1.2D-01  7.110D-04  8.383D-05
   10   13     0     0  con    0  1.0D+00  1.9D-01  6.868D-04  7.603D-05
   11   14     0     0  con    0  1.0D+00  2.9D-01  1.309D-04  6.390D-05
   12   15     0     0  con    0  1.0D+00  4.5D-01  1.789D-03  5.688D-05
   13   16     0     0  con    0  1.0D+00  2.5D-01  6.332D-04  4.582D-05
   14   18     0     0  con    1  2.0D-01  3.0D-01  1.654D-04  3.969D-05
   15   20     0     0  con    1  5.3D-01  3.6D-01  4.983D-04  3.477D-05
   16   21     0     0  con    0  1.0D+00  4.7D-01  3.257D-04  2.184D-05
   17   22     0     0  con    0  1.0D+00  5.4D-01  2.358D-04  1.016D-05
   18   24     0     0  con    1  3.0D-01  2.6D-01  5.786D-04  7.889D-06
