RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.080D-03  2.378D-04
    1    4     1     0  ---    2  1.6D+01  5.3D-02  7.210D-04  1.283D-04
    2    5     0     0  con    0  1.0D+00  1.9D-02  5.028D-04  1.203D-04
    3    7     0     0  con    1  5.0D+00  6.2D-02  5.979D-04  9.570D-05
    4    8     0     0  con    0  1.0D+00  1.1D-01  5.750D-04  6.118D-05
    5    9     0     0  con    0  1.0D+00  1.9D-01  5.277D-04  2.494D-05
    6   10     0     0  con    0  1.0D+00  8.2D-02  6.913D-04  1.624D-05
    7   12     0     0  con    1  2.0D-01  5.6D-02  6.992D-05  1.124D-05
    8   13     0     0  con    0  1.0D+00  6.4D-02  5.125D-04  1.040D-05
    9   14     0     0  con    0  1.0D+00  9.4D-03  9.783D-05  9.520D-06
   10   15     0     0  con    0  1.0D+00  1.3D-02  5.914D-05  9.301D-06
   11   16     0     0  con    0  1.0D+00  2.1D-02  2.675D-05  9.157D-06
   12   17     0     0  con    0  1.0D+00  1.8D-03  5.443D-06  9.149D-06
   13   18     0     0  con    0  1.0D+00  2.0D-03  1.774D-05  9.145D-06
   14   19     0     0  con    0  1.0D+00  2.1D-03  3.121D-05  9.139D-06
   15   20     0     0  con    0  1.0D+00  6.4D-03  6.009D-05  9.118D-06
   16   21     0     0  con    0  1.0D+00  1.4D-02  1.006D-04  9.068D-06
   17   22     0     0  con    0  1.0D+00  3.8D-02  1.633D-04  8.934D-06
   18   23     0     0  con    0  1.0D+00  1.0D-01  2.414D-04  8.588D-06
   19   24     0     0  con    0  1.0D+00  2.8D-01  2.536D-04  7.669D-06
