RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.769D-06  6.862D-07
    1    4     1     0  ---    2  7.4D+01  3.9D-04  1.104D-05  6.852D-07
    2    5     0     0  con    0  1.0D+00  4.1D-04  9.196D-06  6.834D-07
    3    6     0     0  con    0  1.0D+00  1.6D-03  5.273D-07  6.802D-07
    4    8     0     0  con    1  5.0D+00  1.9D-04  9.870D-07  6.801D-07
    5    9     0     0  con    0  1.0D+00  1.2D-03  1.443D-06  6.795D-07
    6   10     0     0  con    0  1.0D+00  3.1D-04  3.645D-07  6.794D-07
    7   11     0     0  con    0  1.0D+00  8.9D-05  2.095D-07  6.794D-07
    8   12     0     0  con    0  1.0D+00  2.6D-05  3.341D-07  6.794D-07
    9   13     0     0  con    0  1.0D+00  1.6D-04  8.129D-07  6.794D-07
   10   14     0     0  con    0  1.0D+00  3.4D-04  1.403D-06  6.794D-07
   11   15     0     0  con    0  1.0D+00  1.0D-03  2.468D-06  6.793D-07
   12   16     0     0  con    0  1.0D+00  2.7D-03  3.985D-06  6.791D-07
   13   17     0     0  con    0  1.0D+00  7.2D-03  7.219D-06  6.785D-07
   14   18     0     0  con    0  1.0D+00  1.9D-02  9.940D-06  6.770D-07
   15   19     0     0  con    0  1.0D+00  6.2D-02  3.823D-05  6.761D-07
   16   20     0     0  con    0  1.0D+00  2.9D-02  2.604D-05  6.699D-07
   17   21     0     0  con    0  1.0D+00  1.2D-01  4.897D-06  6.578D-07
   18   22     0     0  con    0  1.0D+00  1.9D-01  2.217D-05  6.481D-07
   19   23     0     0  con    0  1.0D+00  2.3D-02  1.250D-05  6.390D-07
   20   24     0     0  con    0  1.0D+00  9.2D-02  3.738D-06  6.330D-07
   21   25     0     0  con    0  1.0D+00  1.3D-02  5.751D-07  6.318D-07
   22   26     0     0  con    0  1.0D+00  5.9D-02  4.871D-06  6.312D-07
   23   27     0     0  con    0  1.0D+00  1.7D-03  2.741D-06  6.311D-07
   24   28     0     0  con    0  1.0D+00  8.9D-03  4.621D-07  6.310D-07
   25   29     0     0  con    0  1.0D+00  1.0D-02  1.972D-07  6.310D-07
   26   30     0     0  con    0  1.0D+00  2.7D-03  1.187D-07  6.310D-07
   27   31     0     0  con    0  1.0D+00  6.0D-05  8.044D-10  6.310D-07
   28   32     0     0  con    0  1.0D+00  2.7D-05  5.771D-10  6.310D-07
   29   35     0     0  con    2  2.1D+01  8.6D-05  4.463D-09  6.310D-07
   30   36     0     0  con    0  1.0D+00  9.9D-04  3.440D-08  6.310D-07
   31   37     0     0  con    0  1.0D+00  2.0D-03  8.383D-08  6.310D-07
   32   38     0     0  con    0  1.0D+00  5.6D-03  1.887D-07  6.310D-07
   33   39     0     0  con    0  1.0D+00  1.6D-02  8.521D-07  6.310D-07
   34   40     0     0  con    0  1.0D+00  5.7D-03  5.697D-07  6.310D-07
   35   41     0     0  con    0  1.0D+00  3.8D-02  1.595D-07  6.309D-07
   36   42     0     0  con    0  1.0D+00  1.1D-01  6.876D-07  6.309D-07
   37   43     0     0  con    0  1.0D+00  2.8D-01  5.552D-07  6.307D-07
   38   46     0     0  con    2  4.8D-02  1.9D-01  2.693D-06  6.307D-07
