RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.496D-03  1.953D-04
    1    4     1     0  ---    2  3.1D+00  5.2D-03  1.840D-04  1.909D-04
    2    6     0     0  con    1  5.0D+00  3.6D-03  1.125D-04  1.903D-04
    3    7     0     0  con    0  1.0D+00  7.4D-03  9.508D-05  1.895D-04
    4    8     0     0  con    0  1.0D+00  1.0D-02  1.087D-04  1.887D-04
    5    9     0     0  con    0  1.0D+00  3.4D-02  1.847D-04  1.866D-04
    6   10     0     0  con    0  1.0D+00  5.4D-02  1.977D-04  1.835D-04
    7   11     0     0  con    0  1.0D+00  1.8D-01  2.501D-04  1.734D-04
    8   12     0     0  con    0  1.0D+00  6.6D-01  1.173D-03  1.432D-04
    9   13     0     0  con    0  1.0D+00  4.2D-01  1.902D-03  1.320D-04
   10   14     0     0  con    0  1.0D+00  9.7D-02  8.806D-04  1.148D-04
   11   15     0     0  con    0  1.0D+00  3.5D-01  8.834D-04  8.228D-05
   12   17     0     0  con    1  2.0D-01  2.0D-01  6.660D-04  6.862D-05
   13   18     0     0  con    0  1.0D+00  3.8D-01  1.604D-03  5.449D-05
   14   19     0     0  con    0  1.0D+00  1.9D-01  4.821D-04  3.529D-05
   15   22     0     0  con    2  6.7D-01  2.6D-01  7.959D-04  2.723D-05
   16   23     0     0  con    0  1.0D+00  4.2D-01  8.643D-04  1.208D-05
   17   24     0     0  con    0  1.0D+00  1.4D-01  2.001D-04  7.165D-06
   18   25     0     0  con    0  1.0D+00  3.7D-01  6.718D-04  3.220D-06
   19   26     0     0  con    0  1.0D+00  5.5D-03  2.434D-04  1.781D-06
   20   27     0     0  con    0  1.0D+00  1.4D-01  1.152D-04  5.583D-07
   21   28     0     0  con    0  1.0D+00  5.4D-02  1.698D-05  7.270D-08
   22   29     0     0  con    0  1.0D+00  3.3D-02  2.636D-05  2.011D-08
   23   30     0     0  con    0  1.0D+00  9.6D-03  1.260D-05  1.552D-08
   24   31     0     0  con    0  1.0D+00  2.3D-03  1.790D-06  1.381D-08
   25   32     0     0  con    0  1.0D+00  6.5D-04  1.754D-06  1.369D-08
   26   33     0     0  con    0  1.0D+00  2.7D-03  1.039D-06  1.347D-08
   27   34     0     0  con    0  1.0D+00  6.9D-04  3.164D-07  1.346D-08
   28   35     0     0  con    0  1.0D+00  1.3D-04  3.789D-08  1.345D-08
   29   36     0     0  con    0  1.0D+00  4.0D-06  8.990D-09  1.345D-08
   30   37     0     0  con    0  1.0D+00  2.2D-07  1.098D-08  1.345D-08
   31   38     0     0  con    0  1.0D+00  2.7D-06  3.537D-08  1.345D-08
   32   39     0     0  con    0  1.0D+00  5.6D-06  6.324D-08  1.345D-08
   33   40     0     0  con    0  1.0D+00  1.8D-05  1.156D-07  1.345D-08
   34   41     0     0  con    0  1.0D+00  4.7D-05  1.959D-07  1.345D-08
   35   42     0     0  con    0  1.0D+00  1.3D-04  3.286D-07  1.345D-08
