RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     9.833D-04  1.159D-04
    1    4     1     0  ---    2  2.8D+00  3.0D-03  1.543D-04  1.143D-04
    2    5     0     0  con    0  1.0D+00  5.8D-04  1.359D-04  1.142D-04
    3    6     0     0  con    0  1.0D+00  4.7D-03  7.645D-05  1.137D-04
    4    7     0     0  con    0  1.0D+00  2.7D-03  7.885D-05  1.136D-04
    5    8     0     0  con    0  1.0D+00  1.9D-02  1.271D-04  1.126D-04
    6    9     0     0  con    0  1.0D+00  2.2D-02  1.255D-04  1.117D-04
    7   10     0     0  con    0  1.0D+00  7.7D-02  1.638D-04  1.085D-04
    8   11     0     0  con    0  1.0D+00  3.0D-01  2.126D-04  9.730D-05
    9   12     0     0  con    0  1.0D+00  5.8D-01  1.433D-03  8.632D-05
   10   13     0     0  con    0  1.0D+00  5.2D-02  6.113D-04  7.767D-05
   11   14     0     0  con    0  1.0D+00  2.6D-01  2.947D-04  5.326D-05
   12   15     0     0  con    0  1.0D+00  3.3D-01  2.130D-03  4.482D-05
   13   16     0     0  con    0  1.0D+00  2.0D-01  3.097D-04  4.165D-05
   14   17     0     0  con    0  1.0D+00  3.0D-01  5.718D-04  3.599D-05
   15   18     0     0  con    0  1.0D+00  1.6D-01  6.784D-04  2.710D-05
   16   19     0     0  con    0  1.0D+00  1.1D-01  8.573D-04  2.152D-05
   17   20     0     0  con    0  1.0D+00  2.5D-01  8.045D-04  1.332D-05
   18   22     0     0  con    1  3.5D-01  1.4D-01  6.913D-04  1.085D-05
   19   23     0     0  con    0  1.0D+00  3.7D-01  1.003D-03  6.710D-06
   20   24     0     0  con    0  1.0D+00  5.3D-02  2.405D-04  2.897D-06
   21   25     0     0  con    0  1.0D+00  1.5D-01  1.916D-04  1.341D-06
   22   26     0     0  con    0  1.0D+00  1.6D-01  2.551D-04  3.953D-07
   23   27     0     0  con    0  1.0D+00  2.0D-02  1.120D-04  1.258D-07
   24   28     0     0  con    0  1.0D+00  7.0D-02  3.968D-05  1.954D-08
   25   29     0     0  con    0  1.0D+00  7.3D-03  4.080D-06  3.425D-09
   26   30     0     0  con    0  1.0D+00  4.2D-03  2.372D-06  2.760D-09
   27   31     0     0  con    0  1.0D+00  1.5D-03  5.325D-07  2.653D-09
   28   32     0     0  con    0  1.0D+00  8.8D-05  1.724D-08  2.651D-09
   29   33     0     0  con    0  1.0D+00  1.5D-05  6.819D-09  2.651D-09
   30   34     0     0  con    0  1.0D+00  4.3D-06  5.286D-09  2.651D-09
   31   35     0     0  con    0  1.0D+00  2.5D-05  1.265D-08  2.651D-09
   32   36     0     0  con    0  1.0D+00  3.8D-05  2.237D-08  2.651D-09
   33   37     0     0  con    0  1.0D+00  8.3D-05  4.564D-08  2.650D-09
   34   38     0     0  con    0  1.0D+00  1.9D-04  9.598D-08  2.650D-09
   35   39     0     0  con    0  1.0D+00  5.7D-04  6.343D-07  2.649D-09
   36   40     0     0  con    0  1.0D+00  2.8D-04  2.686D-07  2.646D-09
   37   41     0     0  con    0  1.0D+00  1.1D-03  3.238D-07  2.637D-09
   38   42     0     0  con    0  1.0D+00  3.9D-03  1.310D-06  2.614D-09
   39   43     0     0  con    0  1.0D+00  1.1D-02  2.833D-06  2.555D-09
   40   44     0     0  con    0  1.0D+00  3.0D-02  5.116D-06  2.409D-09
   41   45     0     0  con    0  1.0D+00  7.4D-02  7.989D-06  2.072D-09
   42   46     0     0  con    0  1.0D+00  1.4D-01  9.956D-06  1.518D-09
   43   47     0     0  con    0  1.0D+00  1.6D-01  9.403D-06  7.574D-10
   44   49     0     0  con    1  1.6D-01  2.0D-02  4.838D-06  6.490D-10
   45   50     0     0  con    0  1.0D+00  5.1D-02  2.106D-06  2.551D-10
   46   52     0     0  con    1  3.8D-01  6.4D-02  6.533D-07  1.113D-10
   47   53     0     0  con    0  1.0D+00  1.4D-02  1.655D-07  1.073D-10
   48   54     0     0  con    0  1.0D+00  3.0D-03  2.513D-08  1.069D-10
   49   55     0     0  con    0  1.0D+00  1.2D-05  1.382D-08  1.069D-10
   50   56     0     0  con    0  1.0D+00  2.9D-04  5.312D-09  1.069D-10
   51   57     0     0  con    0  1.0D+00  4.0D-04  7.787D-09  1.069D-10
   52   58     0     0  con    0  1.0D+00  2.1D-04  6.582D-09  1.069D-10
   53   59     0     0  con    0  1.0D+00  1.1D-04  2.620D-09  1.069D-10
   54   60     0     0  con    0  1.0D+00  5.8D-05  4.788D-10  1.069D-10
   55   61     0     0  con    0  1.0D+00  1.6D-05  1.700D-10  1.069D-10
   56   62     0     0  con    0  1.0D+00  1.5D-06  5.882D-11  1.069D-10
   57   63     0     0  con    0  1.0D+00  4.0D-07  4.953D-12  1.069D-10
   58   64     0     0  con    0  1.0D+00  1.4D-07  3.927D-13  1.069D-10
   59   69     0     0  con    4  0.0D+00  0.0D+00  3.926D-13  1.069D-10

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 6.840E+01 seconds.

