RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     6.057D-04  7.461D-05
    1    4     1     0  ---    2  2.1D+00  1.3D-03  1.189D-04  7.418D-05
    2    5     0     0  con    0  1.0D+00  3.4D-04  1.064D-04  7.412D-05
    3    6     0     0  con    0  1.0D+00  3.6D-03  7.042D-05  7.382D-05
    4    7     0     0  con    0  1.0D+00  2.0D-03  6.851D-05  7.372D-05
    5    8     0     0  con    0  1.0D+00  7.7D-03  4.349D-05  7.343D-05
    6    9     0     0  con    0  1.0D+00  1.0D-02  5.689D-05  7.310D-05
    7   10     0     0  con    0  1.0D+00  5.9D-02  1.058D-04  7.149D-05
    8   11     0     0  con    0  1.0D+00  1.4D-01  1.718D-04  6.808D-05
    9   12     0     0  con    0  1.0D+00  3.3D-01  5.357D-04  6.211D-05
   10   13     0     0  con    0  1.0D+00  2.2D-01  7.439D-04  5.674D-05
   11   14     0     0  con    0  1.0D+00  3.5D-01  1.102D-03  4.362D-05
   12   16     0     0  con    1  1.5D-01  8.9D-02  5.940D-04  4.099D-05
   13   17     0     0  con    0  1.0D+00  1.3D-01  3.097D-04  2.726D-05
   14   18     0     0  con    0  1.0D+00  4.2D-01  1.482D-03  2.315D-05
   15   19     0     0  con    0  1.0D+00  6.9D-02  7.076D-04  1.449D-05
   16   20     0     0  con    0  1.0D+00  2.9D-01  8.390D-04  9.178D-06
   17   21     0     0  con    0  1.0D+00  3.4D-01  6.745D-04  7.014D-06
   18   22     0     0  con    0  1.0D+00  7.7D-02  4.977D-04  4.724D-06
   19   23     0     0  con    0  1.0D+00  9.3D-02  8.623D-05  2.938D-06
   20   24     0     0  con    0  1.0D+00  2.5D-01  5.347D-04  1.706D-06
   21   25     0     0  con    0  1.0D+00  1.7D-02  2.651D-04  8.912D-07
   22   26     0     0  con    0  1.0D+00  9.6D-02  1.198D-04  3.148D-07
   23   27     0     0  con    0  1.0D+00  1.3D-01  9.280D-05  5.924D-08
   24   28     0     0  con    0  1.0D+00  5.9D-03  2.878D-05  9.854D-09
   25   29     0     0  con    0  1.0D+00  1.9D-02  4.129D-06  9.160D-10
   26   30     0     0  con    0  1.0D+00  3.6D-03  1.278D-06  5.709D-10
   27   31     0     0  con    0  1.0D+00  1.0D-03  8.063D-07  4.665D-10
   28   32     0     0  con    0  1.0D+00  4.3D-04  9.030D-07  3.633D-10
   29   33     0     0  con    0  1.0D+00  2.5D-04  2.673D-07  3.531D-10
   30   34     0     0  con    0  1.0D+00  3.7D-04  6.726D-08  3.507D-10
   31   35     0     0  con    0  1.0D+00  7.4D-05  7.703D-09  3.506D-10
   32   36     0     0  con    0  1.0D+00  1.2D-06  2.293D-09  3.506D-10
   33   38     0     0  con    1  5.0D+00  2.8D-06  4.713D-09  3.506D-10
   34   39     0     0  con    0  1.0D+00  1.3D-05  1.987D-08  3.506D-10
   35   40     0     0  con    0  1.0D+00  2.9D-05  4.523D-08  3.505D-10
   36   41     0     0  con    0  1.0D+00  8.2D-05  9.918D-08  3.503D-10
   37   42     0     0  con    0  1.0D+00  2.0D-04  1.652D-07  3.500D-10
   38   43     0     0  con    0  1.0D+00  2.9D-04  2.238D-07  3.493D-10
   39   44     0     0  con    0  1.0D+00  2.6D-03  5.149D-07  3.431D-10
   40   45     0     0  con    0  1.0D+00  5.8D-03  9.008D-07  3.302D-10
   41   46     0     0  con    0  1.0D+00  1.7D-02  1.423D-06  2.949D-10
   42   47     0     0  con    0  1.0D+00  4.1D-02  2.249D-06  2.148D-10
   43   48     0     0  con    0  1.0D+00  9.9D-02  2.051D-06  1.177D-10
   44   49     0     0  con    0  1.0D+00  5.5D-03  8.309D-07  6.422D-11
   45   50     0     0  con    0  1.0D+00  8.8D-03  7.861D-07  5.029D-11
   46   52     0     0  con    1  2.2D-01  9.8D-03  4.381D-07  4.626D-11
   47   53     0     0  con    0  1.0D+00  2.1D-02  9.572D-07  4.009D-11
   48   55     0     0  con    1  3.8D-01  1.2D-03  7.844D-08  3.849D-11
   49   56     0     0  con    0  1.0D+00  4.8D-03  2.445D-08  3.798D-11
   50   57     0     0  con    0  1.0D+00  3.1D-04  1.100D-08  3.792D-11
   51   58     0     0  con    0  1.0D+00  3.1D-04  3.928D-10  3.790D-11
   52   59     0     0  con    0  1.0D+00  3.9D-06  1.104D-10  3.790D-11
   53   60     0     0  con    0  1.0D+00  5.0D-07  3.005D-12  3.790D-11
   54   61     0     0  con    0  1.0D+00  2.7D-08  6.854D-14  3.790D-11
   55   66     0     0  con    4  4.0D-04  5.8D-13  6.854D-14  3.790D-11
   56   70     0     0  con    3  1.0D+00  1.3D-09  6.918D-13  3.790D-11
   57   71     0     0  con    0  1.0D+00  1.2D-09  1.835D-15  3.790D-11
   58   75     0     0  con    3  0.0D+00  0.0D+00  1.008D-15  3.790D-11

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 3.763E+01 seconds.

