RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.858D-04  1.018D-05
    1    4     1     0  ---    2  1.7D+00  3.4D-04  5.096D-05  1.015D-05
    2    6     0     0  con    1  5.0D+00  5.8D-04  2.597D-05  1.012D-05
    3    7     0     0  con    0  1.0D+00  1.0D-03  2.995D-05  1.009D-05
    4    8     0     0  con    0  1.0D+00  1.1D-03  2.650D-05  1.007D-05
    5    9     0     0  con    0  1.0D+00  1.9D-03  1.192D-05  1.004D-05
    6   10     0     0  con    0  1.0D+00  1.7D-03  1.493D-05  1.003D-05
    7   11     0     0  con    0  1.0D+00  7.5D-03  2.669D-05  9.964D-06
    8   12     0     0  con    0  1.0D+00  1.6D-02  5.741D-05  9.843D-06
    9   13     0     0  con    0  1.0D+00  4.6D-02  1.094D-04  9.523D-06
   10   14     0     0  con    0  1.0D+00  9.6D-02  1.757D-04  8.905D-06
   11   15     0     0  con    0  1.0D+00  1.4D-01  2.289D-04  7.971D-06
   12   17     0     0  con    1  1.2D-01  2.6D-02  3.533D-04  7.831D-06
   13   18     0     0  con    0  1.0D+00  1.6D-01  2.538D-04  6.252D-06
   14   19     0     0  con    0  1.0D+00  2.0D-01  2.648D-04  3.473D-06
   15   20     0     0  con    0  1.0D+00  1.7D-01  2.139D-04  1.852D-06
   16   22     0     0  con    1  2.1D-01  7.9D-02  2.128D-04  1.554D-06
   17   24     0     0  con    1  4.4D-01  1.3D-01  2.102D-04  1.025D-06
   18   25     0     0  con    0  1.0D+00  1.8D-01  1.461D-04  3.730D-07
   19   26     0     0  con    0  1.0D+00  1.1D-02  2.903D-05  1.782D-07
   20   27     0     0  con    0  1.0D+00  1.0D-01  8.242D-05  1.198D-07
   21   28     0     0  con    0  1.0D+00  4.3D-03  1.935D-05  4.893D-08
   22   29     0     0  con    0  1.0D+00  3.1D-02  6.181D-06  3.116D-08
   23   30     0     0  con    0  1.0D+00  1.8D-02  2.749D-05  2.918D-08
   24   31     0     0  con    0  1.0D+00  8.1D-03  2.015D-05  2.893D-08
   25   32     0     0  con    0  1.0D+00  5.5D-03  2.612D-07  2.821D-08
   26   33     0     0  con    0  1.0D+00  4.4D-05  7.633D-08  2.821D-08
   27   34     0     0  con    0  1.0D+00  3.1D-05  3.327D-08  2.821D-08
   28   35     0     0  con    0  1.0D+00  1.3D-05  6.432D-08  2.821D-08
   29   36     0     0  con    0  1.0D+00  3.2D-05  1.393D-07  2.821D-08
   30   37     0     0  con    0  1.0D+00  4.8D-05  2.455D-07  2.821D-08
   31   38     0     0  con    0  1.0D+00  8.9D-05  4.262D-07  2.820D-08
   32   39     0     0  con    0  1.0D+00  1.7D-04  7.120D-07  2.820D-08
   33   40     0     0  con    0  1.0D+00  3.7D-04  1.176D-06  2.819D-08
   34   41     0     0  con    0  1.0D+00  8.7D-04  1.927D-06  2.817D-08
   35   42     0     0  con    0  1.0D+00  2.2D-03  3.142D-06  2.811D-08
   36   43     0     0  con    0  1.0D+00  5.6D-03  5.087D-06  2.796D-08
   37   44     0     0  con    0  1.0D+00  1.4D-02  8.121D-06  2.758D-08
