RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            5     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     6.168D-02  1.538D-01
    1    2     1     0  ---    0  1.1D+01  1.0D+00  2.402D-02  8.460D-02
    2    3     0     0  con    0  1.0D+00  7.7D-01  1.974D-02  6.736D-02
    3    7     0     0  con    3  1.3D+00  1.6D+00  1.521D-02  9.916D-03
    4    9     0     0  con    1  2.0D-01  2.2D-01  3.094D-02  8.700D-03
    5   11     0     0  con    1  2.1D-01  2.2D-01  2.278D-02  4.744D-03
    6   12     0     0  con    0  1.0D+00  2.3D-01  1.171D-03  1.365D-03
    7   13     0     0  con    0  1.0D+00  1.1D-02  1.064D-03  1.349D-03
    8   14     0     0  con    0  1.0D+00  1.8D-02  9.771D-04  1.331D-03
    9   15     0     0  con    0  1.0D+00  5.4D-02  1.520D-03  1.292D-03
   10   16     0     0  con    0  1.0D+00  1.4D-01  2.661D-03  1.204D-03
   11   17     0     0  con    0  1.0D+00  2.9D-01  4.260D-03  1.047D-03
   12   18     0     0  con    0  1.0D+00  3.9D-01  4.624D-03  8.181D-04
   13   19     0     0  con    0  1.0D+00  5.0D-01  3.507D-03  4.548D-04
   14   20     0     0  con    0  1.0D+00  5.1D-01  9.254D-04  1.521D-04
   15   21     0     0  con    0  1.0D+00  5.5D-01  1.450D-03  5.570D-05
   16   22     0     0  con    0  1.0D+00  3.8D-01  5.714D-04  8.536D-06
   17   23     0     0  con    0  1.0D+00  1.6D-01  1.489D-04  4.440D-06
   18   24     0     0  con    0  1.0D+00  9.0D-03  2.729D-05  4.203D-06
   19   25     0     0  con    0  1.0D+00  6.8D-03  8.845D-06  4.191D-06
   20   26     0     0  con    0  1.0D+00  1.4D-03  9.413D-06  4.188D-06
