RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            6     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.517D-04  1.477D-05
    1    3     1     0  ---    1  2.7D+00  6.5D-04  2.955D-04  1.471D-05
    2    4     0     0  con    0  1.0D+00  3.9D-04  1.370D-04  1.463D-05
    3    5     0     0  con    0  1.0D+00  7.0D-04  3.222D-05  1.459D-05
    4    7     0     0  con    1  5.0D+00  4.8D-04  3.547D-05  1.457D-05
    5    8     0     0  con    0  1.0D+00  3.3D-03  5.253D-05  1.449D-05
    6    9     0     0  con    0  1.0D+00  1.8D-03  2.416D-05  1.446D-05
    7   10     0     0  con    0  1.0D+00  4.7D-03  5.254D-05  1.438D-05
    8   11     0     0  con    0  1.0D+00  5.7D-03  1.052D-04  1.430D-05
    9   12     0     0  con    0  1.0D+00  2.0D-02  2.280D-04  1.404D-05
   10   13     0     0  con    0  1.0D+00  4.3D-02  4.158D-04  1.347D-05
   11   14     0     0  con    0  1.0D+00  9.7D-02  7.886D-04  1.227D-05
   12   15     0     0  con    0  1.0D+00  1.4D-01  8.693D-04  1.056D-05
   13   17     0     0  con    1  7.9D-02  1.5D-02  1.400D-03  1.039D-05
   14   18     0     0  con    0  1.0D+00  1.1D-01  1.004D-03  8.014D-06
   15   19     0     0  con    0  1.0D+00  5.8D-02  1.287D-05  6.662D-06
   16   20     0     0  con    0  1.0D+00  5.9D-02  2.654D-04  6.552D-06
   17   21     0     0  con    0  1.0D+00  4.5D-03  4.638D-05  6.519D-06
   18   22     0     0  con    0  1.0D+00  7.2D-03  8.461D-06  6.514D-06
   19   23     0     0  con    0  1.0D+00  1.7D-03  1.361D-05  6.513D-06
   20   24     0     0  con    0  1.0D+00  9.2D-04  3.193D-06  6.512D-06
   21   25     0     0  con    0  1.0D+00  8.4D-05  2.781D-06  6.512D-06
   22   26     0     0  con    0  1.0D+00  6.6D-04  1.716D-05  6.510D-06
   23   27     0     0  con    0  1.0D+00  1.2D-03  3.662D-05  6.507D-06
   24   28     0     0  con    0  1.0D+00  4.1D-03  7.247D-05  6.498D-06
   25   29     0     0  con    0  1.0D+00  1.0D-02  1.272D-04  6.474D-06
   26   30     0     0  con    0  1.0D+00  2.8D-02  2.269D-04  6.413D-06
   27   31     0     0  con    0  1.0D+00  6.4D-02  3.935D-04  6.280D-06
   28   32     0     0  con    0  1.0D+00  1.2D-01  4.723D-04  6.046D-06
